# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-06-24_21-30-02.911; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-06-24 21:30:03.206808; 1719232203206.808;  -0.296
2024-06-24 21:30:03.207808; 1719232203207.808;  -0.296
2024-06-24 21:30:03.208808; 1719232203208.808;  -0.296
2024-06-24 21:30:03.209809; 1719232203209.809;  -0.296
2024-06-24 21:30:03.210809; 1719232203210.809;  -0.296
2024-06-24 21:30:03.211809; 1719232203211.809;  -0.296
2024-06-24 21:30:03.212809; 1719232203212.809;  -0.296
2024-06-24 21:30:03.213809; 1719232203213.810;  -0.296
2024-06-24 21:30:03.214810; 1719232203214.810;  -0.296
2024-06-24 21:30:03.215810; 1719232203215.810;  -0.296
2024-06-24 21:30:03.216810; 1719232203216.810;  -0.296
2024-06-24 21:30:03.217811; 1719232203217.811;  -0.296
2024-06-24 21:30:03.218811; 1719232203218.811;  -0.296
2024-06-24 21:30:03.219811; 1719232203219.811;  -0.296
2024-06-24 21:30:03.220811; 1719232203220.811;  -0.296
2024-06-24 21:30:03.221812; 1719232203221.812;  -0.296
2024-06-24 21:30:03.222812; 1719232203222.812;  -0.296
2024-06-24 21:30:03.223812; 1719232203223.812;  -0.296
2024-06-24 21:30:03.224812; 1719232203224.812;  -0.296
2024-06-24 21:30:03.225812; 1719232203225.813;  -0.296
2024-06-24 21:30:03.226813; 1719232203226.813;  -0.296
2024-06-24 21:30:03.227813; 1719232203227.813;  -0.296
2024-06-24 21:30:03.228813; 1719232203228.813;  -0.296
2024-06-24 21:30:03.229814; 1719232203229.813;  -0.296
2024-06-24 21:30:03.230814; 1719232203230.814;  -0.296
2024-06-24 21:30:03.231814; 1719232203231.814;  -0.296
2024-06-24 21:30:03.232814; 1719232203232.814;  -0.296
2024-06-24 21:30:03.233814; 1719232203233.814;  -0.296
2024-06-24 21:30:03.234815; 1719232203234.815;  -0.296
2024-06-24 21:30:03.235815; 1719232203235.815;  -0.296
2024-06-24 21:30:03.236815; 1719232203236.815;  -0.296
2024-06-24 21:30:03.237815; 1719232203237.815;  -0.296
2024-06-24 21:30:03.238816; 1719232203238.816;  -0.296
2024-06-24 21:30:03.239816; 1719232203239.816;  -0.296
2024-06-24 21:30:03.240816; 1719232203240.816;  -0.296
2024-06-24 21:30:03.241816; 1719232203241.816;  -0.296
2024-06-24 21:30:03.242817; 1719232203242.817;  -0.296
2024-06-24 21:30:03.243817; 1719232203243.817;  -0.296
2024-06-24 21:30:03.244817; 1719232203244.817;  -0.296
2024-06-24 21:30:03.245817; 1719232203245.817;  -0.296
2024-06-24 21:30:03.246818; 1719232203246.818;  -0.296
2024-06-24 21:30:03.247818; 1719232203247.818;  -0.296
2024-06-24 21:30:03.248818; 1719232203248.818;  -0.296
2024-06-24 21:30:03.249818; 1719232203249.818;  -0.296
2024-06-24 21:30:03.250819; 1719232203250.819;  -0.296
2024-06-24 21:30:03.251819; 1719232203251.819;  -0.299
2024-06-24 21:30:03.252819; 1719232203252.819;  -0.299
2024-06-24 21:30:03.253819; 1719232203253.819;  -0.299
2024-06-24 21:30:03.254820; 1719232203254.820;  -0.299
2024-06-24 21:30:03.255820; 1719232203255.820;  -0.299
2024-06-24 21:30:03.256820; 1719232203256.820;  -0.299
2024-06-24 21:30:03.257820; 1719232203257.820;  -0.299
2024-06-24 21:30:03.258821; 1719232203258.821;  -0.299
2024-06-24 21:30:03.259821; 1719232203259.821;  -0.299
2024-06-24 21:30:03.260821; 1719232203260.821;  -0.299
2024-06-24 21:30:03.261821; 1719232203261.821;  -0.299
2024-06-24 21:30:03.262821; 1719232203262.822;  -0.299
2024-06-24 21:30:03.263822; 1719232203263.822;  -0.299
2024-06-24 21:30:03.264822; 1719232203264.822;  -0.299
2024-06-24 21:30:03.265822; 1719232203265.822;  -0.299
2024-06-24 21:30:03.266823; 1719232203266.823;  -0.299
2024-06-24 21:30:03.267823; 1719232203267.823;  -0.299
2024-06-24 21:30:03.268823; 1719232203268.823;  -0.299
2024-06-24 21:30:03.269823; 1719232203269.823;  -0.299
