time, id, x, y, z, qx, qy, qz, qw, image_error, object_error, fiducial_area
1717086187.948231629, 0, 0.106028, 0.0348941, 0.94332, 0.994682, -0.0186232, 0.0729323, 0.0702994, 0.000604519, 0.000759602, 0
1717086187.977695744, 0, 0.0912994, 0.0408224, 0.945336, 0.994619, -0.00688872, 0.074106, 0.0720622, 0.000757679, 0.000951966, 0
1717086187.995786634, 0, 0.0992898, 0.0363179, 0.944603, 0.994722, -0.013202, 0.0734776, 0.0703847, 0.000713392, 0.000896976, 0
1717086188.011513353, 0, 0.0992898, 0.0363179, 0.944603, 0.994722, -0.013202, 0.0734776, 0.0703847, 0.000713392, 0.000896976, 0
1717086188.026447070, 0, 0.0892991, 0.0354232, 0.946275, 0.994782, -0.00533191, 0.0748712, 0.0690973, 0.000649171, 0.00081642, 0
1717086188.043044538, 0, 0.0892991, 0.0354232, 0.946275, 0.994782, -0.00533191, 0.0748712, 0.0690973, 0.000649171, 0.00081642, 0
1717086188.060021206, 0, 0.0918061, 0.0424252, 0.945403, 0.994544, -0.00729239, 0.0742093, 0.0729495, 0.000484759, 0.000609151, 0
1717086188.076912837, 0, 0.0918061, 0.0424252, 0.945403, 0.994544, -0.00729239, 0.0742093, 0.0729495, 0.000484759, 0.000609151, 0
1717086188.093320526, 0, 0.0992247, 0.0453003, 0.944275, 0.994461, -0.0130389, 0.072478, 0.0750004, 0.000617229, 0.000776204, 0
1717086188.110343804, 0, 0.0992247, 0.0453003, 0.944275, 0.994461, -0.0130389, 0.072478, 0.0750004, 0.000617229, 0.000776204, 0
1717086188.127021715, 0, 0.100485, 0.0412992, 0.944425, 0.994488, -0.0141743, 0.0737482, 0.0731718, 0.00132288, 0.00166221, 0
1717086188.143501554, 0, 0.100485, 0.0412992, 0.944425, 0.994488, -0.0141743, 0.0737482, 0.0731718, 0.00132288, 0.00166221, 0
1717086188.160116141, 0, 0.109417, 0.0416422, 0.942599, 0.994414, -0.0212212, 0.0721313, 0.0740815, 0.000244265, 0.000306901, 0
1717086188.177023400, 0, 0.109417, 0.0416422, 0.942599, 0.994414, -0.0212212, 0.0721313, 0.0740815, 0.000244265, 0.000306901, 0
1717086188.193380720, 0, 0.0912624, 0.0374835, 0.945821, 0.994718, -0.00686712, 0.0744579, 0.0703245, 0.00097111, 0.00122095, 0
1717086188.210266183, 0, 0.0912624, 0.0374835, 0.945821, 0.994718, -0.00686712, 0.0744579, 0.0703245, 0.00097111, 0.00122095, 0
1717086188.227022830, 0, 0.102075, 0.0384548, 0.943887, 0.994632, -0.0154037, 0.0729659, 0.071736, 0.000355855, 0.000447258, 0
1717086188.243880222, 0, 0.102075, 0.0384548, 0.943887, 0.994632, -0.0154037, 0.0729659, 0.071736, 0.000355855, 0.000447258, 0
1717086188.260139731, 0, 0.0995853, 0.0366079, 0.944323, 0.994652, -0.0135348, 0.0740966, 0.0706682, 0.000364941, 0.000458318, 0
1717086188.277136290, 0, 0.0995853, 0.0366079, 0.944323, 0.994652, -0.0135348, 0.0740966, 0.0706682, 0.000364941, 0.000458318, 0
1717086188.293333486, 0, 0.100775, 0.039656, 0.944099, 0.994582, -0.0144023, 0.0732886, 0.0723015, 0.000410323, 0.000515591, 0
1717086188.310354122, 0, 0.100775, 0.039656, 0.944099, 0.994582, -0.0144023, 0.0732886, 0.0723015, 0.000410323, 0.000515591, 0
1717086188.327276625, 0, 0.109632, 0.0381506, 0.942567, 0.994488, -0.0214827, 0.072765, 0.0723634, 0.000530718, 0.00066637, 0
1717086188.344082191, 0, 0.109632, 0.0381506, 0.942567, 0.994488, -0.0214827, 0.072765, 0.0723634, 0.000530718, 0.00066637, 0
1717086188.360493303, 0, 0.101493, 0.0369565, 0.94406, 0.994675, -0.0149693, 0.0732561, 0.0709351, 0.000697237, 0.000876236, 0
1717086188.377208584, 0, 0.101493, 0.0369565, 0.94406, 0.994675, -0.0149693, 0.0732561, 0.0709351, 0.000697237, 0.000876236, 0
1717086188.394062589, 0, 0.0984986, 0.0371391, 0.94443, 0.994681, -0.0126279, 0.0737456, 0.0707877, 0.000604254, 0.000759145, 0
1717086188.410328218, 0, 0.0984986, 0.0371391, 0.94443, 0.994681, -0.0126279, 0.0737456, 0.0707877, 0.000604254, 0.000759145, 0
1717086188.427263295, 0, 0.0906258, 0.0327454, 0.946011, 0.99486, -0.00640922, 0.0749106, 0.0678338, 0.000520507, 0.000654434, 0
1717086188.443490762, 0, 0.0906258, 0.0327454, 0.946011, 0.99486, -0.00640922, 0.0749106, 0.0678338, 0.000520507, 0.000654434, 0
1717086188.460336296, 0, 0.097439, 0.0336719, 0.945138, 0.994818, -0.0117553, 0.073863, 0.0688692, 0.000404005, 0.000508232, 0
1717086188.477296769, 0, 0.097439, 0.0336719, 0.945138, 0.994818, -0.0117553, 0.073863, 0.0688692, 0.000404005, 0.000508232, 0
1717086188.494103112, 0, 0.0952579, 0.0402265, 0.945182, 0.994597, -0.0100166, 0.0739892, 0.0721197, 0.000547059, 0.000687709, 0
1717086188.510429596, 0, 0.0952579, 0.0402265, 0.945182, 0.994597, -0.0100166, 0.0739892, 0.0721197, 0.000547059, 0.000687709, 0
1717086188.527132239, 0, 0.0970982, 0.0414281, 0.944916, 0.994562, -0.0114431, 0.0735199, 0.072873, 0.000476463, 0.000599125, 0
1717086188.544136286, 0, 0.0970982, 0.0414281, 0.944916, 0.994562, -0.0114431, 0.0735199, 0.072873, 0.000476463, 0.000599125, 0
1717086188.560472023, 0, 0.0922974, 0.0364136, 0.945791, 0.994733, -0.00770486, 0.0745906, 0.0698841, 0.000517461, 0.000650627, 0
1717086188.577225194, 0, 0.0922974, 0.0364136, 0.945791, 0.994733, -0.00770486, 0.0745906, 0.0698841, 0.000517461, 0.000650627, 0
1717086188.594036392, 0, 0.099435, 0.0334837, 0.94453, 0.994796, -0.0133781, 0.0737913, 0.0689645, 0.000690322, 0.00086765, 0
1717086188.610424310, 0, 0.099435, 0.0334837, 0.94453, 0.994796, -0.0133781, 0.0737913, 0.0689645, 0.000690322, 0.00086765, 0
1717086188.627165795, 0, 0.0863293, 0.0262812, 0.947046, 0.995061, -0.00301666, 0.0757228, 0.0641174, 0.000417505, 0.000525375, 0
1717086188.644092352, 0, 0.0863293, 0.0262812, 0.947046, 0.995061, -0.00301666, 0.0757228, 0.0641174, 0.000417505, 0.000525375, 0
1717086188.660550541, 0, 0.102758, 0.0391578, 0.943541, 0.99462, -0.0159483, 0.0725933, 0.0721611, 0.00025916, 0.000325671, 0
1717086188.677387623, 0, 0.102758, 0.0391578, 0.943541, 0.99462, -0.0159483, 0.0725933, 0.0721611, 0.00025916, 0.000325671, 0
1717086188.694549655, 0, 0.106927, 0.0350721, 0.943121, 0.994643, -0.0193444, 0.0730729, 0.0705073, 0.00119185, 0.00149695, 0
1717086188.711174829, 0, 0.106927, 0.0350721, 0.943121, 0.994643, -0.0193444, 0.0730729, 0.0705073, 0.00119185, 0.00149695, 0
1717086188.727364000, 0, 0.100401, 0.037529, 0.944271, 0.994639, -0.0141319, 0.0736658, 0.0711828, 0.000476343, 0.000598495, 0
1717086188.744421798, 0, 0.100401, 0.037529, 0.944271, 0.994639, -0.0141319, 0.0736658, 0.0711828, 0.000476343, 0.000598495, 0
1717086188.761124736, 0, 0.0977698, 0.0373838, 0.944732, 0.994673, -0.0120389, 0.0738891, 0.0708586, 0.000396414, 0.000498188, 0
1717086188.777380855, 0, 0.0977698, 0.0373838, 0.944732, 0.994673, -0.0120389, 0.0738891, 0.0708586, 0.000396414, 0.000498188, 0
1717086188.793975153, 0, 0.0965073, 0.0383698, 0.94481, 0.994668, -0.0110202, 0.0737481, 0.0712352, 0.000543164, 0.000682659, 0
1717086188.810882561, 0, 0.0965073, 0.0383698, 0.94481, 0.994668, -0.0110202, 0.0737481, 0.0712352, 0.000543164, 0.000682659, 0
1717086188.827388319, 0, 0.0948399, 0.0363525, 0.945462, 0.99474, -0.00968723, 0.0741067, 0.0700457, 0.000460441, 0.000579105, 0
1717086188.844643428, 0, 0.0948399, 0.0363525, 0.945462, 0.99474, -0.00968723, 0.0741067, 0.0700457, 0.000460441, 0.000579105, 0
