%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1688459239228136777,0,1688459239228136777,camera_1,0
1688459239238637685,1,1688459239238637685,camera_1,1
1688459239248857021,2,1688459239248857021,camera_1,2
1688459239258364200,3,1688459239258364200,camera_1,3
1688459239268177509,4,1688459239268177509,camera_1,4
1688459239277962684,5,1688459239277962684,camera_1,5
1688459239288239717,6,1688459239288239717,camera_1,6
1688459239298328161,7,1688459239298328161,camera_1,7
1688459239308118343,8,1688459239308118343,camera_1,8
1688459239318014383,9,1688459239318014383,camera_1,9
1688459239328032970,10,1688459239328032970,camera_1,10
1688459239338001728,11,1688459239338001728,camera_1,11
1688459239348412752,12,1688459239348412752,camera_1,12
1688459239358571052,13,1688459239358571052,camera_1,13
1688459239368360519,14,1688459239368360519,camera_1,14
1688459239378134012,15,1688459239378134012,camera_1,15
1688459239388005495,16,1688459239388005495,camera_1,16
1688459239398485183,17,1688459239398485183,camera_1,17
1688459239408265590,18,1688459239408265590,camera_1,18
1688459239417939186,19,1688459239417939186,camera_1,19
1688459239428105115,20,1688459239428105115,camera_1,20
1688459239437919378,21,1688459239437919378,camera_1,21
1688459239448700428,22,1688459239448700428,camera_1,22
1688459239458069562,23,1688459239458069562,camera_1,23
1688459239468220949,24,1688459239468220949,camera_1,24
1688459239478089332,25,1688459239478089332,camera_1,25
1688459239488360881,26,1688459239488360881,camera_1,26
1688459239497332334,27,1688459239497332334,camera_1,27
1688459239507721424,28,1688459239507721424,camera_1,28
1688459239517944812,29,1688459239517944812,camera_1,29
1688459239528516054,30,1688459239528516054,camera_1,30
1688459239538576841,31,1688459239538576841,camera_1,31
1688459239548474788,32,1688459239548474788,camera_1,32
1688459239558182239,33,1688459239558182239,camera_1,33
1688459239568335771,34,1688459239568335771,camera_1,34
1688459239578135490,35,1688459239578135490,camera_1,35
1688459239588045835,36,1688459239588045835,camera_1,36
1688459239597877740,37,1688459239597877740,camera_1,37
1688459239608323574,38,1688459239608323574,camera_1,38
1688459239617786884,39,1688459239617786884,camera_1,39
1688459239628541469,40,1688459239628541469,camera_1,40
1688459239638772487,41,1688459239638772487,camera_1,41
1688459239648998260,42,1688459239648998260,camera_1,42
1688459239658935308,43,1688459239658935308,camera_1,43
1688459239668989419,44,1688459239668989419,camera_1,44
1688459239678218841,45,1688459239678218841,camera_1,45
1688459239687890768,46,1688459239687890768,camera_1,46
1688459239698305606,47,1688459239698305606,camera_1,47
1688459239708596467,48,1688459239708596467,camera_1,48
1688459239718721866,49,1688459239718721866,camera_1,49
1688459239728995800,50,1688459239728995800,camera_1,50
1688459239738667011,51,1688459239738667011,camera_1,51
1688459239748760938,52,1688459239748760938,camera_1,52
1688459239758571624,53,1688459239758571624,camera_1,53
1688459239768247842,54,1688459239768247842,camera_1,54
1688459239778572320,55,1688459239778572320,camera_1,55
1688459239788817167,56,1688459239788817167,camera_1,56
1688459239798495531,57,1688459239798495531,camera_1,57
1688459239808367013,58,1688459239808367013,camera_1,58
1688459239817889451,59,1688459239817889451,camera_1,59
1688459239828564405,60,1688459239828564405,camera_1,60
1688459239838188648,61,1688459239838188648,camera_1,61
1688459239848161220,62,1688459239848161220,camera_1,62
1688459239858006477,63,1688459239858006477,camera_1,63
1688459239867871761,64,1688459239867871761,camera_1,64
1688459239878066539,65,1688459239878066539,camera_1,65
1688459239888172149,66,1688459239888172149,camera_1,66
1688459239897898197,67,1688459239897898197,camera_1,67
1688459239908170700,68,1688459239908170700,camera_1,68
1688459239918017387,69,1688459239918017387,camera_1,69
1688459239928344011,70,1688459239928344011,camera_1,70
1688459239938210248,71,1688459239938210248,camera_1,71
1688459239947998046,72,1688459239947998046,camera_1,72
1688459239957844018,73,1688459239957844018,camera_1,73
1688459239968180418,74,1688459239968180418,camera_1,74
1688459239978727102,75,1688459239978727102,camera_1,75
1688459239988185405,76,1688459239988185405,camera_1,76
1688459239998961687,77,1688459239998961687,camera_1,77
1688459240008604526,78,1688459240008604526,camera_1,78
1688459240017962455,79,1688459240017962455,camera_1,79
