Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 09:53:34.961, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 09:54:26.626403,   19.49597
2023-04-12 09:54:26.627403,   19.47106
2023-04-12 09:54:26.628403,   19.45238
2023-04-12 09:54:26.629403,   19.43370
2023-04-12 09:54:26.630403,   19.42125
2023-04-12 09:54:26.631403,   19.40879
2023-04-12 09:54:26.632403,   19.40256
2023-04-12 09:54:26.633403,   19.40256
2023-04-12 09:54:26.634403,   19.40256
2023-04-12 09:54:26.635403,   19.40256
2023-04-12 09:54:26.636403,   19.40256
2023-04-12 09:54:26.637403,   19.40568
2023-04-12 09:54:26.638403,   19.41502
2023-04-12 09:54:26.639403,   19.42747
2023-04-12 09:54:26.640403,   19.44615
2023-04-12 09:54:26.641403,   19.46484
2023-04-12 09:54:26.642403,   19.48663
2023-04-12 09:54:26.643403,   19.51154
2023-04-12 09:54:26.644403,   19.53956
2023-04-12 09:54:26.645403,   19.56758
2023-04-12 09:54:26.646403,   19.59872
2023-04-12 09:54:26.647403,   19.62985
2023-04-12 09:54:26.648403,   19.66410
2023-04-12 09:54:26.649403,   19.69524
2023-04-12 09:54:26.650403,   19.72949
2023-04-12 09:54:26.651403,   19.76374
2023-04-12 09:54:26.652403,   19.79799
2023-04-12 09:54:26.653403,   19.83223
2023-04-12 09:54:26.654403,   19.86337
2023-04-12 09:54:26.655403,   19.89451
2023-04-12 09:54:26.656403,   19.92564
2023-04-12 09:54:26.657403,   19.95366
2023-04-12 09:54:26.658403,   19.98168
2023-04-12 09:54:26.659403,   20.00971
2023-04-12 09:54:26.660403,   20.03462
2023-04-12 09:54:26.661403,   20.05641
2023-04-12 09:54:26.662403,   20.07198
2023-04-12 09:54:26.663403,   20.08755
2023-04-12 09:54:26.664403,   20.10311
