# sensorTOOL V1.9.2
# SensorTypeName:optoNCDT ILD1420, SerialNumber:18040260, RecordingDate:2023-04-20_06-17-03.572, SA_AnalogScaleMode:0, SA_ApplicationLanguage:EN, SA_ArticleNumber:4120216, SA_Automatic:1, SA_AveragingType:3, SA_BootVersion:001.006, SA_CableHead:Wire, SA_ChartType:0, SA_CmdStr:GETOUTINFO_RS422\\r\\n, SA_CurrentName:ammar, SA_DataOutInterface:1, SA_DataRange:50, SA_DataSource:0, SA_DefaultUser:1, SA_DisplayUnit:0, SA_Echo:0, SA_ErrorHysteresis:2, SA_ErrorLevelOut1:0, SA_ErrorOutHoldTime:50, SA_ErrorOutput1:1, SA_HardwareRevision:01, SA_HoldLastValid:-1, SA_InitialChartType:2, SA_KeyFunction:2, SA_Keylock:2, SA_KeylockState:1, SA_KeylockTime:5, SA_LaserPower:0, SA_Master:1, SA_MasterValue:0, SA_Measrate:1, SA_MeasurePeak:0, SA_MedianCount:9, SA_MovingCount:2, SA_MultiFunctionInputLevel:0, SA_MultiFunctionInputMode:0, SA_Option:000, SA_PresetMode:3, SA_PresetNames:Standard, SA_ROIEnd:511, SA_ROIStart:0, SA_Range:200, SA_RecursiveCount:2, SA_ResampleAnalog:0, SA_ResampleRS422:0, SA_Resampling:1, SA_Sensor:ILD1420, SA_SensorBaudrate:921600, SA_SerialNumber:18040260, SA_SettingNames:ammar, SA_Softwareversion:001.028, SA_TimeRange:9.963, SA_TriggerCount:1, SA_TriggerMode:0, SA_TriggerMoment:0, SA_UpperLimit:0, SA_UserLevel:1, SA_ViewRange:1
# SignalName           , DataRate             , RangeMin             , RangeMax             , AppliedOffset        , SetPoint             
# Distance1            , 1000 Hz              , -102 mm              , 713.9750916 mm       , 0 mm                 , 0 mm                 
# VideoResolution:65536, VideoSignalCount:0
# 1_Averaging:Disabled, 2_Triggering:Disabled, 3_Subsampling:Disabled, 4_Mastering:Disabled
# Data acquisition time, Epoch time (ms), Distance1 (mm)
2023-04-20 06:17:03.386182, 1681939023386.182,  -1.93974
2023-04-20 06:17:03.387182, 1681939023387.182,  -1.98956
2023-04-20 06:17:03.388182, 1681939023388.182,  -2.03938
2023-04-20 06:17:03.389182, 1681939023389.182,  -2.08297
2023-04-20 06:17:03.390182, 1681939023390.182,  -2.12656
2023-04-20 06:17:03.391182, 1681939023391.182,  -2.16703
2023-04-20 06:17:03.392182, 1681939023392.182,  -2.20440
2023-04-20 06:17:03.393182, 1681939023393.182,  -2.23553
2023-04-20 06:17:03.394182, 1681939023394.182,  -2.26667
2023-04-20 06:17:03.395182, 1681939023395.182,  -2.29469
2023-04-20 06:17:03.396182, 1681939023396.182,  -2.31960
2023-04-20 06:17:03.397182, 1681939023397.182,  -2.34451
2023-04-20 06:17:03.398182, 1681939023398.182,  -2.36630
2023-04-20 06:17:03.399182, 1681939023399.182,  -2.38498
2023-04-20 06:17:03.400182, 1681939023400.182,  -2.39744
2023-04-20 06:17:03.401182, 1681939023401.182,  -2.40989
2023-04-20 06:17:03.402182, 1681939023402.182,  -2.41612
2023-04-20 06:17:03.403182, 1681939023403.182,  -2.41612
2023-04-20 06:17:03.404182, 1681939023404.182,  -2.41612
2023-04-20 06:17:03.405182, 1681939023405.182,  -2.41612
2023-04-20 06:17:03.406182, 1681939023406.182,  -2.41612
2023-04-20 06:17:03.407182, 1681939023407.182,  -2.41300
2023-04-20 06:17:03.408182, 1681939023408.182,  -2.40366
2023-04-20 06:17:03.409182, 1681939023409.182,  -2.39121
2023-04-20 06:17:03.410182, 1681939023410.182,  -2.37875
2023-04-20 06:17:03.411182, 1681939023411.182,  -2.36007
2023-04-20 06:17:03.412182, 1681939023412.182,  -2.33516
2023-04-20 06:17:03.413182, 1681939023413.182,  -2.31026
2023-04-20 06:17:03.414182, 1681939023414.182,  -2.28535
2023-04-20 06:17:03.415182, 1681939023415.182,  -2.25421
2023-04-20 06:17:03.416182, 1681939023416.182,  -2.22308
2023-04-20 06:17:03.417182, 1681939023417.182,  -2.18883
2023-04-20 06:17:03.418182, 1681939023418.182,  -2.14835
2023-04-20 06:17:03.419182, 1681939023419.182,  -2.10788
2023-04-20 06:17:03.420182, 1681939023420.182,  -2.06740
2023-04-20 06:17:03.421182, 1681939023421.182,  -2.02070
2023-04-20 06:17:03.422182, 1681939023422.182,  -1.97088
2023-04-20 06:17:03.423182, 1681939023423.182,  -1.91484
2023-04-20 06:17:03.424182, 1681939023424.182,  -1.86190
2023-04-20 06:17:03.425182, 1681939023425.182,  -1.80275
2023-04-20 06:17:03.426182, 1681939023426.182,  -1.74359
2023-04-20 06:17:03.427182, 1681939023427.182,  -1.68443
2023-04-20 06:17:03.428182, 1681939023428.182,  -1.61905
2023-04-20 06:17:03.429182, 1681939023429.182,  -1.55678
2023-04-20 06:17:03.430182, 1681939023430.182,  -1.49139
2023-04-20 06:17:03.431182, 1681939023431.182,  -1.42289
2023-04-20 06:17:03.432182, 1681939023432.182,  -1.35128
2023-04-20 06:17:03.433182, 1681939023433.182,  -1.27656
2023-04-20 06:17:03.434182, 1681939023434.182,  -1.20495
2023-04-20 06:17:03.435182, 1681939023435.182,  -1.13022
2023-04-20 06:17:03.436182, 1681939023436.182,  -1.05549
2023-04-20 06:17:03.437182, 1681939023437.182,  -0.97766
2023-04-20 06:17:03.438182, 1681939023438.182,  -0.89359
2023-04-20 06:17:03.439182, 1681939023439.182,  -0.81575
2023-04-20 06:17:03.440182, 1681939023440.182,  -0.73168
2023-04-20 06:17:03.441182, 1681939023441.182,  -0.65073
2023-04-20 06:17:03.442182, 1681939023442.182,  -0.56667
2023-04-20 06:17:03.443182, 1681939023443.182,  -0.48260
2023-04-20 06:17:03.444182, 1681939023444.182,  -0.39231
2023-04-20 06:17:03.445182, 1681939023445.182,  -0.30513
2023-04-20 06:17:03.446182, 1681939023446.182,  -0.21484
2023-04-20 06:17:03.447182, 1681939023447.182,  -0.12454
2023-04-20 06:17:03.448182, 1681939023448.182,  -0.03114
2023-04-20 06:17:03.449182, 1681939023449.182,   0.06227
2023-04-20 06:17:03.450182, 1681939023450.182,   0.15568
2023-04-20 06:17:03.451182, 1681939023451.182,   0.24908
2023-04-20 06:17:03.452182, 1681939023452.182,   0.34560
2023-04-20 06:17:03.453182, 1681939023453.182,   0.43901
2023-04-20 06:17:03.454182, 1681939023454.182,   0.53242
2023-04-20 06:17:03.455182, 1681939023455.182,   0.62271
2023-04-20 06:17:03.456182, 1681939023456.182,   0.71612
2023-04-20 06:17:03.457182, 1681939023457.182,   0.80641
2023-04-20 06:17:03.458182, 1681939023458.182,   0.89359
2023-04-20 06:17:03.459182, 1681939023459.182,   0.98700
2023-04-20 06:17:03.460182, 1681939023460.182,   1.07418
2023-04-20 06:17:03.461182, 1681939023461.182,   1.16447
2023-04-20 06:17:03.462182, 1681939023462.182,   1.24853
2023-04-20 06:17:03.463182, 1681939023463.182,   1.33260
2023-04-20 06:17:03.464182, 1681939023464.182,   1.41355
2023-04-20 06:17:03.465182, 1681939023465.182,   1.49451
2023-04-20 06:17:03.466182, 1681939023466.182,   1.57857
2023-04-20 06:17:03.467182, 1681939023467.182,   1.65952
2023-04-20 06:17:03.468182, 1681939023468.182,   1.74048
2023-04-20 06:17:03.469182, 1681939023469.182,   1.82454
2023-04-20 06:17:03.470182, 1681939023470.182,   1.90238
2023-04-20 06:17:03.471182, 1681939023471.182,   1.98333
2023-04-20 06:17:03.472182, 1681939023472.182,   2.06429
2023-04-20 06:17:03.473182, 1681939023473.182,   2.13901
2023-04-20 06:17:03.474182, 1681939023474.182,   2.21685
2023-04-20 06:17:03.475182, 1681939023475.182,   2.28846
2023-04-20 06:17:03.476182, 1681939023476.182,   2.36630
2023-04-20 06:17:03.477182, 1681939023477.182,   2.43791
2023-04-20 06:17:03.478182, 1681939023478.182,   2.50952
2023-04-20 06:17:03.479182, 1681939023479.182,   2.57802
2023-04-20 06:17:03.480182, 1681939023480.182,   2.64341
2023-04-20 06:17:03.481182, 1681939023481.182,   2.71190
2023-04-20 06:17:03.482182, 1681939023482.182,   2.77729
2023-04-20 06:17:03.483182, 1681939023483.182,   2.83956
2023-04-20 06:17:03.484182, 1681939023484.182,   2.89872
2023-04-20 06:17:03.485182, 1681939023485.182,   2.95788
2023-04-20 06:17:03.486182, 1681939023486.182,   3.01081
2023-04-20 06:17:03.487182, 1681939023487.182,   3.06374
2023-04-20 06:17:03.488182, 1681939023488.182,   3.11355
2023-04-20 06:17:03.489182, 1681939023489.182,   3.16337
2023-04-20 06:17:03.490182, 1681939023490.182,   3.20385
2023-04-20 06:17:03.491182, 1681939023491.182,   3.24432
2023-04-20 06:17:03.492182, 1681939023492.182,   3.28168
2023-04-20 06:17:03.493182, 1681939023493.182,   3.31593
2023-04-20 06:17:03.494182, 1681939023494.182,   3.35018
2023-04-20 06:17:03.495182, 1681939023495.182,   3.37509
2023-04-20 06:17:03.496182, 1681939023496.182,   3.40311
2023-04-20 06:17:03.497182, 1681939023497.182,   3.42491
2023-04-20 06:17:03.498182, 1681939023498.182,   3.44359
2023-04-20 06:17:03.499182, 1681939023499.182,   3.45916
2023-04-20 06:17:03.500182, 1681939023500.182,   3.47161
2023-04-20 06:17:03.501182, 1681939023501.182,   3.48407
2023-04-20 06:17:03.502182, 1681939023502.182,   3.49029
2023-04-20 06:17:03.503182, 1681939023503.182,   3.49029
2023-04-20 06:17:03.504182, 1681939023504.182,   3.49029
2023-04-20 06:17:03.505182, 1681939023505.182,   3.49029
2023-04-20 06:17:03.506182, 1681939023506.182,   3.49029
2023-04-20 06:17:03.507182, 1681939023507.182,   3.48407
2023-04-20 06:17:03.508182, 1681939023508.182,   3.47161
2023-04-20 06:17:03.509182, 1681939023509.182,   3.45916
2023-04-20 06:17:03.510182, 1681939023510.182,   3.44359
2023-04-20 06:17:03.511182, 1681939023511.182,   3.42491
2023-04-20 06:17:03.512182, 1681939023512.182,   3.40311
2023-04-20 06:17:03.513182, 1681939023513.182,   3.37821
2023-04-20 06:17:03.514182, 1681939023514.182,   3.35018
2023-04-20 06:17:03.515182, 1681939023515.182,   3.31593
2023-04-20 06:17:03.516182, 1681939023516.182,   3.28168
2023-04-20 06:17:03.517182, 1681939023517.182,   3.24744
2023-04-20 06:17:03.518182, 1681939023518.182,   3.20696
2023-04-20 06:17:03.519182, 1681939023519.182,   3.16337
2023-04-20 06:17:03.520182, 1681939023520.182,   3.11355
2023-04-20 06:17:03.521182, 1681939023521.182,   3.06685
2023-04-20 06:17:03.522182, 1681939023522.182,   3.01703
2023-04-20 06:17:03.523182, 1681939023523.182,   2.96099
2023-04-20 06:17:03.524182, 1681939023524.182,   2.90183
2023-04-20 06:17:03.525182, 1681939023525.182,   2.84579
2023-04-20 06:17:03.526182, 1681939023526.182,   2.78352
2023-04-20 06:17:03.527182, 1681939023527.182,   2.71502
2023-04-20 06:17:03.528182, 1681939023528.182,   2.64963
2023-04-20 06:17:03.529182, 1681939023529.182,   2.58425
2023-04-20 06:17:03.530182, 1681939023530.182,   2.51264
2023-04-20 06:17:03.531182, 1681939023531.182,   2.44414
2023-04-20 06:17:03.532182, 1681939023532.182,   2.37253
2023-04-20 06:17:03.533182, 1681939023533.182,   2.29780
2023-04-20 06:17:03.534182, 1681939023534.182,   2.22619
2023-04-20 06:17:03.535182, 1681939023535.182,   2.15147
2023-04-20 06:17:03.536182, 1681939023536.182,   2.07363
2023-04-20 06:17:03.537182, 1681939023537.182,   1.99579
2023-04-20 06:17:03.538182, 1681939023538.182,   1.91484
2023-04-20 06:17:03.539182, 1681939023539.182,   1.83388
2023-04-20 06:17:03.540182, 1681939023540.182,   1.75604
2023-04-20 06:17:03.541182, 1681939023541.182,   1.67198
2023-04-20 06:17:03.542182, 1681939023542.182,   1.59103
2023-04-20 06:17:03.543182, 1681939023543.182,   1.50696
2023-04-20 06:17:03.544182, 1681939023544.182,   1.42912
2023-04-20 06:17:03.545182, 1681939023545.182,   1.34505
2023-04-20 06:17:03.546182, 1681939023546.182,   1.26410
2023-04-20 06:17:03.547182, 1681939023547.182,   1.18004
2023-04-20 06:17:03.548182, 1681939023548.182,   1.09286
2023-04-20 06:17:03.549182, 1681939023549.182,   1.00568
2023-04-20 06:17:03.550182, 1681939023550.182,   0.91538
2023-04-20 06:17:03.551182, 1681939023551.182,   0.82509
2023-04-20 06:17:03.552182, 1681939023552.182,   0.73791
2023-04-20 06:17:03.553182, 1681939023553.182,   0.64762
2023-04-20 06:17:03.554182, 1681939023554.182,   0.55421
2023-04-20 06:17:03.555182, 1681939023555.182,   0.46392
2023-04-20 06:17:03.556182, 1681939023556.182,   0.37051
