# sensorTOOL V1.9.2
# SensorTypeName:optoNCDT ILD1420, SerialNumber:18040260, RecordingDate:2023-04-20_06-13-08.015, SA_AnalogScaleMode:0, SA_ApplicationLanguage:EN, SA_ArticleNumber:4120216, SA_Automatic:1, SA_AveragingType:3, SA_BootVersion:001.006, SA_CableHead:Wire, SA_ChartType:0, SA_CmdStr:GETOUTINFO_RS422\\r\\n, SA_CurrentName:ammar, SA_DataOutInterface:1, SA_DataRange:50, SA_DataSource:0, SA_DefaultUser:1, SA_DisplayUnit:0, SA_Echo:0, SA_ErrorHysteresis:2, SA_ErrorLevelOut1:0, SA_ErrorOutHoldTime:50, SA_ErrorOutput1:1, SA_HardwareRevision:01, SA_HoldLastValid:-1, SA_InitialChartType:2, SA_KeyFunction:2, SA_Keylock:2, SA_KeylockState:1, SA_KeylockTime:5, SA_LaserPower:0, SA_Master:1, SA_MasterValue:0, SA_Measrate:1, SA_MeasurePeak:0, SA_MedianCount:9, SA_MovingCount:2, SA_MultiFunctionInputLevel:0, SA_MultiFunctionInputMode:0, SA_Option:000, SA_PresetMode:3, SA_PresetNames:Standard, SA_ROIEnd:511, SA_ROIStart:0, SA_Range:200, SA_RecursiveCount:2, SA_ResampleAnalog:0, SA_ResampleRS422:0, SA_Resampling:1, SA_Sensor:ILD1420, SA_SensorBaudrate:921600, SA_SerialNumber:18040260, SA_SettingNames:ammar, SA_Softwareversion:001.028, SA_TimeRange:9.963, SA_TriggerCount:1, SA_TriggerMode:0, SA_TriggerMoment:0, SA_UpperLimit:0, SA_UserLevel:1, SA_ViewRange:1
# SignalName           , DataRate             , RangeMin             , RangeMax             , AppliedOffset        , SetPoint             
# Distance1            , 1000 Hz              , -102 mm              , 713.9750916 mm       , 0 mm                 , 0 mm                 
# VideoResolution:65536, VideoSignalCount:0
# 1_Averaging:Disabled, 2_Triggering:Disabled, 3_Subsampling:Disabled, 4_Mastering:Disabled
# Data acquisition time, Epoch time (ms), Distance1 (mm)
2023-04-20 06:13:07.840182, 1681938787840.182,  -3.87015
2023-04-20 06:13:07.841182, 1681938787841.182,  -3.77985
2023-04-20 06:13:07.842182, 1681938787842.182,  -3.68645
2023-04-20 06:13:07.843182, 1681938787843.182,  -3.58993
2023-04-20 06:13:07.844182, 1681938787844.182,  -3.49652
2023-04-20 06:13:07.845182, 1681938787845.182,  -3.40311
2023-04-20 06:13:07.846182, 1681938787846.182,  -3.30971
2023-04-20 06:13:07.847182, 1681938787847.182,  -3.21630
2023-04-20 06:13:07.848182, 1681938787848.182,  -3.11978
2023-04-20 06:13:07.849182, 1681938787849.182,  -3.02326
2023-04-20 06:13:07.850182, 1681938787850.182,  -2.92051
2023-04-20 06:13:07.851182, 1681938787851.182,  -2.81777
2023-04-20 06:13:07.852182, 1681938787852.182,  -2.71502
2023-04-20 06:13:07.853182, 1681938787853.182,  -2.61227
2023-04-20 06:13:07.854182, 1681938787854.182,  -2.50641
2023-04-20 06:13:07.855182, 1681938787855.182,  -2.40678
2023-04-20 06:13:07.856182, 1681938787856.182,  -2.30092
2023-04-20 06:13:07.857182, 1681938787857.182,  -2.20128
2023-04-20 06:13:07.858182, 1681938787858.182,  -2.09231
2023-04-20 06:13:07.859182, 1681938787859.182,  -1.98645
2023-04-20 06:13:07.860182, 1681938787860.182,  -1.88059
2023-04-20 06:13:07.861182, 1681938787861.182,  -1.77473
2023-04-20 06:13:07.862182, 1681938787862.182,  -1.66886
2023-04-20 06:13:07.863182, 1681938787863.182,  -1.56612
2023-04-20 06:13:07.864182, 1681938787864.182,  -1.46026
2023-04-20 06:13:07.865182, 1681938787865.182,  -1.36062
2023-04-20 06:13:07.866182, 1681938787866.182,  -1.25476
2023-04-20 06:13:07.867182, 1681938787867.182,  -1.14890
2023-04-20 06:13:07.868182, 1681938787868.182,  -1.04304
2023-04-20 06:13:07.869182, 1681938787869.182,  -0.93407
2023-04-20 06:13:07.870182, 1681938787870.182,  -0.83132
2023-04-20 06:13:07.871182, 1681938787871.182,  -0.72234
2023-04-20 06:13:07.872182, 1681938787872.182,  -0.61960
2023-04-20 06:13:07.873182, 1681938787873.182,  -0.51685
2023-04-20 06:13:07.874182, 1681938787874.182,  -0.40476
2023-04-20 06:13:07.875182, 1681938787875.182,  -0.29890
2023-04-20 06:13:07.876182, 1681938787876.182,  -0.18681
2023-04-20 06:13:07.877182, 1681938787877.182,  -0.08095
2023-04-20 06:13:07.878182, 1681938787878.182,   0.02802
2023-04-20 06:13:07.879182, 1681938787879.182,   0.14011
2023-04-20 06:13:07.880182, 1681938787880.182,   0.25220
2023-04-20 06:13:07.881182, 1681938787881.182,   0.36429
2023-04-20 06:13:07.882182, 1681938787882.182,   0.47326
2023-04-20 06:13:07.883182, 1681938787883.182,   0.58223
2023-04-20 06:13:07.884182, 1681938787884.182,   0.68810
2023-04-20 06:13:07.885182, 1681938787885.182,   0.79707
2023-04-20 06:13:07.886182, 1681938787886.182,   0.89982
2023-04-20 06:13:07.887182, 1681938787887.182,   1.00879
2023-04-20 06:13:07.888182, 1681938787888.182,   1.11465
2023-04-20 06:13:07.889182, 1681938787889.182,   1.22051
2023-04-20 06:13:07.890182, 1681938787890.182,   1.32326
2023-04-20 06:13:07.891182, 1681938787891.182,   1.42601
2023-04-20 06:13:07.892182, 1681938787892.182,   1.52564
2023-04-20 06:13:07.893182, 1681938787893.182,   1.62839
2023-04-20 06:13:07.894182, 1681938787894.182,   1.72802
2023-04-20 06:13:07.895182, 1681938787895.182,   1.83388
2023-04-20 06:13:07.896182, 1681938787896.182,   1.93663
2023-04-20 06:13:07.897182, 1681938787897.182,   2.04560
2023-04-20 06:13:07.898182, 1681938787898.182,   2.14835
2023-04-20 06:13:07.899182, 1681938787899.182,   2.25733
2023-04-20 06:13:07.900182, 1681938787900.182,   2.36319
2023-04-20 06:13:07.901182, 1681938787901.182,   2.46905
2023-04-20 06:13:07.902182, 1681938787902.182,   2.57802
2023-04-20 06:13:07.903182, 1681938787903.182,   2.68388
2023-04-20 06:13:07.904182, 1681938787904.182,   2.80220
2023-04-20 06:13:07.905182, 1681938787905.182,   2.91429
2023-04-20 06:13:07.906182, 1681938787906.182,   3.02637
2023-04-20 06:13:07.907182, 1681938787907.182,   3.13846
2023-04-20 06:13:07.908182, 1681938787908.182,   3.25055
2023-04-20 06:13:07.909182, 1681938787909.182,   3.36264
2023-04-20 06:13:07.910182, 1681938787910.182,   3.46538
2023-04-20 06:13:07.911182, 1681938787911.182,   3.57436
2023-04-20 06:13:07.912182, 1681938787912.182,   3.67711
2023-04-20 06:13:07.913182, 1681938787913.182,   3.78608
2023-04-20 06:13:07.914182, 1681938787914.182,   3.88883
2023-04-20 06:13:07.915182, 1681938787915.182,   3.99469
2023-04-20 06:13:07.916182, 1681938787916.182,   4.10366
2023-04-20 06:13:07.917182, 1681938787917.182,   4.20952
2023-04-20 06:13:07.918182, 1681938787918.182,   4.31227
2023-04-20 06:13:07.919182, 1681938787919.182,   4.42125
2023-04-20 06:13:07.920182, 1681938787920.182,   4.52088
2023-04-20 06:13:07.921182, 1681938787921.182,   4.62674
2023-04-20 06:13:07.922182, 1681938787922.182,   4.72326
2023-04-20 06:13:07.923182, 1681938787923.182,   4.82912
2023-04-20 06:13:07.924182, 1681938787924.182,   4.92875
2023-04-20 06:13:07.925182, 1681938787925.182,   5.03150
2023-04-20 06:13:07.926182, 1681938787926.182,   5.12491
2023-04-20 06:13:07.927182, 1681938787927.182,   5.22454
2023-04-20 06:13:07.928182, 1681938787928.182,   5.32418
2023-04-20 06:13:07.929182, 1681938787929.182,   5.42070
2023-04-20 06:13:07.930182, 1681938787930.182,   5.52033
2023-04-20 06:13:07.931182, 1681938787931.182,   5.61685
2023-04-20 06:13:07.932182, 1681938787932.182,   5.71337
2023-04-20 06:13:07.933182, 1681938787933.182,   5.80989
2023-04-20 06:13:07.934182, 1681938787934.182,   5.90330
2023-04-20 06:13:07.935182, 1681938787935.182,   5.99670
2023-04-20 06:13:07.936182, 1681938787936.182,   6.08700
2023-04-20 06:13:07.937182, 1681938787937.182,   6.17418
2023-04-20 06:13:07.938182, 1681938787938.182,   6.26447
2023-04-20 06:13:07.939182, 1681938787939.182,   6.35165
2023-04-20 06:13:07.940182, 1681938787940.182,   6.44194
2023-04-20 06:13:07.941182, 1681938787941.182,   6.52601
2023-04-20 06:13:07.942182, 1681938787942.182,   6.60696
2023-04-20 06:13:07.943182, 1681938787943.182,   6.69414
2023-04-20 06:13:07.944182, 1681938787944.182,   6.77821
2023-04-20 06:13:07.945182, 1681938787945.182,   6.86227
2023-04-20 06:13:07.946182, 1681938787946.182,   6.95256
2023-04-20 06:13:07.947182, 1681938787947.182,   7.03663
2023-04-20 06:13:07.948182, 1681938787948.182,   7.12070
2023-04-20 06:13:07.949182, 1681938787949.182,   7.20476
2023-04-20 06:13:07.950182, 1681938787950.182,   7.28571
2023-04-20 06:13:07.951182, 1681938787951.182,   7.36355
2023-04-20 06:13:07.952182, 1681938787952.182,   7.44762
2023-04-20 06:13:07.953182, 1681938787953.182,   7.52546
2023-04-20 06:13:07.954182, 1681938787954.182,   7.60018
2023-04-20 06:13:07.955182, 1681938787955.182,   7.68114
2023-04-20 06:13:07.956182, 1681938787956.182,   7.75586
2023-04-20 06:13:07.957182, 1681938787957.182,   7.82747
2023-04-20 06:13:07.958182, 1681938787958.182,   7.90220
2023-04-20 06:13:07.959182, 1681938787959.182,   7.97381
2023-04-20 06:13:07.960182, 1681938787960.182,   8.03919
2023-04-20 06:13:07.961182, 1681938787961.182,   8.10769
2023-04-20 06:13:07.962182, 1681938787962.182,   8.17930
2023-04-20 06:13:07.963182, 1681938787963.182,   8.24469
2023-04-20 06:13:07.964182, 1681938787964.182,   8.31319
2023-04-20 06:13:07.965182, 1681938787965.182,   8.37857
2023-04-20 06:13:07.966182, 1681938787966.182,   8.44396
2023-04-20 06:13:07.967182, 1681938787967.182,   8.50311
2023-04-20 06:13:07.968182, 1681938787968.182,   8.56538
2023-04-20 06:13:07.969182, 1681938787969.182,   8.62454
2023-04-20 06:13:07.970182, 1681938787970.182,   8.68059
2023-04-20 06:13:07.971182, 1681938787971.182,   8.73663
2023-04-20 06:13:07.972182, 1681938787972.182,   8.78956
2023-04-20 06:13:07.973182, 1681938787973.182,   8.84560
2023-04-20 06:13:07.974182, 1681938787974.182,   8.89542
2023-04-20 06:13:07.975182, 1681938787975.182,   8.94212
2023-04-20 06:13:07.976182, 1681938787976.182,   8.99194
2023-04-20 06:13:07.977182, 1681938787977.182,   9.03864
2023-04-20 06:13:07.978182, 1681938787978.182,   9.08535
2023-04-20 06:13:07.979182, 1681938787979.182,   9.12894
2023-04-20 06:13:07.980182, 1681938787980.182,   9.17253
2023-04-20 06:13:07.981182, 1681938787981.182,   9.21300
2023-04-20 06:13:07.982182, 1681938787982.182,   9.25659
2023-04-20 06:13:07.983182, 1681938787983.182,   9.29707
2023-04-20 06:13:07.984182, 1681938787984.182,   9.33755
2023-04-20 06:13:07.985182, 1681938787985.182,   9.37179
2023-04-20 06:13:07.986182, 1681938787986.182,   9.40916
2023-04-20 06:13:07.987182, 1681938787987.182,   9.44652
2023-04-20 06:13:07.988182, 1681938787988.182,   9.48388
2023-04-20 06:13:07.989182, 1681938787989.182,   9.51813
2023-04-20 06:13:07.990182, 1681938787990.182,   9.54927
2023-04-20 06:13:07.991182, 1681938787991.182,   9.58040
2023-04-20 06:13:07.992182, 1681938787992.182,   9.60842
2023-04-20 06:13:07.993182, 1681938787993.182,   9.63645
2023-04-20 06:13:07.994182, 1681938787994.182,   9.66447
2023-04-20 06:13:07.995182, 1681938787995.182,   9.69249
2023-04-20 06:13:07.996182, 1681938787996.182,   9.71429
2023-04-20 06:13:07.997182, 1681938787997.182,   9.73608
2023-04-20 06:13:07.998182, 1681938787998.182,   9.75788
2023-04-20 06:13:07.999182, 1681938787999.182,   9.77656
2023-04-20 06:13:08.000182, 1681938788000.182,   9.79524
2023-04-20 06:13:08.001182, 1681938788001.182,   9.81081
2023-04-20 06:13:08.002182, 1681938788002.182,   9.82637
2023-04-20 06:13:08.003182, 1681938788003.182,   9.84194
2023-04-20 06:13:08.004182, 1681938788004.182,   9.85440
2023-04-20 06:13:08.005182, 1681938788005.182,   9.86996
2023-04-20 06:13:08.006182, 1681938788006.182,   9.87930
2023-04-20 06:13:08.007182, 1681938788007.182,   9.88864
2023-04-20 06:13:08.008182, 1681938788008.182,   9.89799
2023-04-20 06:13:08.009182, 1681938788009.182,   9.90421
2023-04-20 06:13:08.010182, 1681938788010.182,   9.90733
2023-04-20 06:13:08.011182, 1681938788011.182,   9.91044
2023-04-20 06:13:08.012182, 1681938788012.182,   9.91044
2023-04-20 06:13:08.013182, 1681938788013.182,   9.91044
2023-04-20 06:13:08.014182, 1681938788014.182,   9.91044
2023-04-20 06:13:08.015182, 1681938788015.182,   9.91044
2023-04-20 06:13:08.016182, 1681938788016.182,   9.91044
2023-04-20 06:13:08.017182, 1681938788017.182,   9.90421
2023-04-20 06:13:08.018182, 1681938788018.182,   9.89799
2023-04-20 06:13:08.019182, 1681938788019.182,   9.89176
2023-04-20 06:13:08.020182, 1681938788020.182,   9.88242
2023-04-20 06:13:08.021182, 1681938788021.182,   9.87308
2023-04-20 06:13:08.022182, 1681938788022.182,   9.86062
2023-04-20 06:13:08.023182, 1681938788023.182,   9.84817
2023-04-20 06:13:08.024182, 1681938788024.182,   9.83260
2023-04-20 06:13:08.025182, 1681938788025.182,   9.82015
2023-04-20 06:13:08.026182, 1681938788026.182,   9.80458
2023-04-20 06:13:08.027182, 1681938788027.182,   9.78590
2023-04-20 06:13:08.028182, 1681938788028.182,   9.76722
2023-04-20 06:13:08.029182, 1681938788029.182,   9.74542
2023-04-20 06:13:08.030182, 1681938788030.182,   9.72363
2023-04-20 06:13:08.031182, 1681938788031.182,   9.70183
2023-04-20 06:13:08.032182, 1681938788032.182,   9.67381
2023-04-20 06:13:08.033182, 1681938788033.182,   9.64579
2023-04-20 06:13:08.034182, 1681938788034.182,   9.61777
2023-04-20 06:13:08.035182, 1681938788035.182,   9.58974
2023-04-20 06:13:08.036182, 1681938788036.182,   9.55861
2023-04-20 06:13:08.037182, 1681938788037.182,   9.52436
2023-04-20 06:13:08.038182, 1681938788038.182,   9.49322
2023-04-20 06:13:08.039182, 1681938788039.182,   9.45897
2023-04-20 06:13:08.040182, 1681938788040.182,   9.42161
2023-04-20 06:13:08.041182, 1681938788041.182,   9.38425
2023-04-20 06:13:08.042182, 1681938788042.182,   9.34689
2023-04-20 06:13:08.043182, 1681938788043.182,   9.30952
2023-04-20 06:13:08.044182, 1681938788044.182,   9.26905
2023-04-20 06:13:08.045182, 1681938788045.182,   9.22546
2023-04-20 06:13:08.046182, 1681938788046.182,   9.18187
2023-04-20 06:13:08.047182, 1681938788047.182,   9.14139
2023-04-20 06:13:08.048182, 1681938788048.182,   9.09780
2023-04-20 06:13:08.049182, 1681938788049.182,   9.05110
2023-04-20 06:13:08.050182, 1681938788050.182,   9.00128
2023-04-20 06:13:08.051182, 1681938788051.182,   8.95147
2023-04-20 06:13:08.052182, 1681938788052.182,   8.90476
2023-04-20 06:13:08.053182, 1681938788053.182,   8.85183
2023-04-20 06:13:08.054182, 1681938788054.182,   8.80201
2023-04-20 06:13:08.055182, 1681938788055.182,   8.74597
2023-04-20 06:13:08.056182, 1681938788056.182,   8.69304
2023-04-20 06:13:08.057182, 1681938788057.182,   8.63388
2023-04-20 06:13:08.058182, 1681938788058.182,   8.57784
2023-04-20 06:13:08.059182, 1681938788059.182,   8.51557
2023-04-20 06:13:08.060182, 1681938788060.182,   8.45641
2023-04-20 06:13:08.061182, 1681938788061.182,   8.39414
2023-04-20 06:13:08.062182, 1681938788062.182,   8.32564
2023-04-20 06:13:08.063182, 1681938788063.182,   8.26026
2023-04-20 06:13:08.064182, 1681938788064.182,   8.19176
2023-04-20 06:13:08.065182, 1681938788065.182,   8.12326
2023-04-20 06:13:08.066182, 1681938788066.182,   8.05165
2023-04-20 06:13:08.067182, 1681938788067.182,   7.98315
2023-04-20 06:13:08.068182, 1681938788068.182,   7.91465
2023-04-20 06:13:08.069182, 1681938788069.182,   7.83681
2023-04-20 06:13:08.070182, 1681938788070.182,   7.76520
2023-04-20 06:13:08.071182, 1681938788071.182,   7.69048
2023-04-20 06:13:08.072182, 1681938788072.182,   7.60952
2023-04-20 06:13:08.073182, 1681938788073.182,   7.53168
2023-04-20 06:13:08.074182, 1681938788074.182,   7.45696
2023-04-20 06:13:08.075182, 1681938788075.182,   7.36978
2023-04-20 06:13:08.076182, 1681938788076.182,   7.29194
2023-04-20 06:13:08.077182, 1681938788077.182,   7.21099
2023-04-20 06:13:08.078182, 1681938788078.182,   7.12381
2023-04-20 06:13:08.079182, 1681938788079.182,   7.03974
2023-04-20 06:13:08.080182, 1681938788080.182,   6.95568
2023-04-20 06:13:08.081182, 1681938788081.182,   6.86538
2023-04-20 06:13:08.082182, 1681938788082.182,   6.78132
2023-04-20 06:13:08.083182, 1681938788083.182,   6.69414
2023-04-20 06:13:08.084182, 1681938788084.182,   6.60696
2023-04-20 06:13:08.085182, 1681938788085.182,   6.52601
2023-04-20 06:13:08.086182, 1681938788086.182,   6.43883
2023-04-20 06:13:08.087182, 1681938788087.182,   6.35165
2023-04-20 06:13:08.088182, 1681938788088.182,   6.26136
2023-04-20 06:13:08.089182, 1681938788089.182,   6.17106
2023-04-20 06:13:08.090182, 1681938788090.182,   6.08077
2023-04-20 06:13:08.091182, 1681938788091.182,   5.98736
2023-04-20 06:13:08.092182, 1681938788092.182,   5.89396
2023-04-20 06:13:08.093182, 1681938788093.182,   5.80055
2023-04-20 06:13:08.094182, 1681938788094.182,   5.70092
2023-04-20 06:13:08.095182, 1681938788095.182,   5.60440
2023-04-20 06:13:08.096182, 1681938788096.182,   5.50476
2023-04-20 06:13:08.097182, 1681938788097.182,   5.40513
2023-04-20 06:13:08.098182, 1681938788098.182,   5.30861
2023-04-20 06:13:08.099182, 1681938788099.182,   5.20586
2023-04-20 06:13:08.100182, 1681938788100.182,   5.10934
2023-04-20 06:13:08.101182, 1681938788101.182,   5.00971
2023-04-20 06:13:08.102182, 1681938788102.182,   4.91007
2023-04-20 06:13:08.103182, 1681938788103.182,   4.80733
2023-04-20 06:13:08.104182, 1681938788104.182,   4.70147
2023-04-20 06:13:08.105182, 1681938788105.182,   4.59872
2023-04-20 06:13:08.106182, 1681938788106.182,   4.49286
2023-04-20 06:13:08.107182, 1681938788107.182,   4.39011
2023-04-20 06:13:08.108182, 1681938788108.182,   4.27802
2023-04-20 06:13:08.109182, 1681938788109.182,   4.17216
2023-04-20 06:13:08.110182, 1681938788110.182,   4.06319
2023-04-20 06:13:08.111182, 1681938788111.182,   3.95421
2023-04-20 06:13:08.112182, 1681938788112.182,   3.84835
2023-04-20 06:13:08.113182, 1681938788113.182,   3.74249
2023-04-20 06:13:08.114182, 1681938788114.182,   3.63352
2023-04-20 06:13:08.115182, 1681938788115.182,   3.52766
2023-04-20 06:13:08.116182, 1681938788116.182,   3.41868
2023-04-20 06:13:08.117182, 1681938788117.182,   3.30659
2023-04-20 06:13:08.118182, 1681938788118.182,   3.19762
2023-04-20 06:13:08.119182, 1681938788119.182,   3.07930
2023-04-20 06:13:08.120182, 1681938788120.182,   2.96722
2023-04-20 06:13:08.121182, 1681938788121.182,   2.85201
2023-04-20 06:13:08.122182, 1681938788122.182,   2.73681
2023-04-20 06:13:08.123182, 1681938788123.182,   2.62161
2023-04-20 06:13:08.124182, 1681938788124.182,   2.50952
2023-04-20 06:13:08.125182, 1681938788125.182,   2.40055
2023-04-20 06:13:08.126182, 1681938788126.182,   2.28846
2023-04-20 06:13:08.127182, 1681938788127.182,   2.17949
2023-04-20 06:13:08.128182, 1681938788128.182,   2.07051
2023-04-20 06:13:08.129182, 1681938788129.182,   1.96154
2023-04-20 06:13:08.130182, 1681938788130.182,   1.85256
2023-04-20 06:13:08.131182, 1681938788131.182,   1.74359
2023-04-20 06:13:08.132182, 1681938788132.182,   1.63773
2023-04-20 06:13:08.133182, 1681938788133.182,   1.53498
2023-04-20 06:13:08.134182, 1681938788134.182,   1.42912
2023-04-20 06:13:08.135182, 1681938788135.182,   1.32637
2023-04-20 06:13:08.136182, 1681938788136.182,   1.22051
2023-04-20 06:13:08.137182, 1681938788137.182,   1.11777
2023-04-20 06:13:08.138182, 1681938788138.182,   1.00879
2023-04-20 06:13:08.139182, 1681938788139.182,   0.90293
2023-04-20 06:13:08.140182, 1681938788140.182,   0.79707
2023-04-20 06:13:08.141182, 1681938788141.182,   0.68810
2023-04-20 06:13:08.142182, 1681938788142.182,   0.58223
2023-04-20 06:13:08.143182, 1681938788143.182,   0.47015
2023-04-20 06:13:08.144182, 1681938788144.182,   0.36117
2023-04-20 06:13:08.145182, 1681938788145.182,   0.24597
2023-04-20 06:13:08.146182, 1681938788146.182,   0.13388
2023-04-20 06:13:08.147182, 1681938788147.182,   0.01868
2023-04-20 06:13:08.148182, 1681938788148.182,  -0.09652
2023-04-20 06:13:08.149182, 1681938788149.182,  -0.20238
2023-04-20 06:13:08.150182, 1681938788150.182,  -0.31447
2023-04-20 06:13:08.151182, 1681938788151.182,  -0.42656
2023-04-20 06:13:08.152182, 1681938788152.182,  -0.53242
2023-04-20 06:13:08.153182, 1681938788153.182,  -0.64139
2023-04-20 06:13:08.154182, 1681938788154.182,  -0.74414
2023-04-20 06:13:08.155182, 1681938788155.182,  -0.85623
2023-04-20 06:13:08.156182, 1681938788156.182,  -0.96209
2023-04-20 06:13:08.157182, 1681938788157.182,  -1.06795
2023-04-20 06:13:08.158182, 1681938788158.182,  -1.17692
2023-04-20 06:13:08.159182, 1681938788159.182,  -1.28278
2023-04-20 06:13:08.160182, 1681938788160.182,  -1.39176
2023-04-20 06:13:08.161182, 1681938788161.182,  -1.49762
2023-04-20 06:13:08.162182, 1681938788162.182,  -1.60348
2023-04-20 06:13:08.163182, 1681938788163.182,  -1.70934
2023-04-20 06:13:08.164182, 1681938788164.182,  -1.81832
2023-04-20 06:13:08.165182, 1681938788165.182,  -1.92729
2023-04-20 06:13:08.166182, 1681938788166.182,  -2.03938
2023-04-20 06:13:08.167182, 1681938788167.182,  -2.14524
2023-04-20 06:13:08.168182, 1681938788168.182,  -2.25110
2023-04-20 06:13:08.169182, 1681938788169.182,  -2.35696
2023-04-20 06:13:08.170182, 1681938788170.182,  -2.46282
2023-04-20 06:13:08.171182, 1681938788171.182,  -2.56557
2023-04-20 06:13:08.172182, 1681938788172.182,  -2.66832
2023-04-20 06:13:08.173182, 1681938788173.182,  -2.77729
2023-04-20 06:13:08.174182, 1681938788174.182,  -2.88315
2023-04-20 06:13:08.175182, 1681938788175.182,  -2.98590
2023-04-20 06:13:08.176182, 1681938788176.182,  -3.08553
2023-04-20 06:13:08.177182, 1681938788177.182,  -3.18516
2023-04-20 06:13:08.178182, 1681938788178.182,  -3.28168
2023-04-20 06:13:08.179182, 1681938788179.182,  -3.37509
2023-04-20 06:13:08.180182, 1681938788180.182,  -3.46850
2023-04-20 06:13:08.181182, 1681938788181.182,  -3.56813
2023-04-20 06:13:08.182182, 1681938788182.182,  -3.66777
2023-04-20 06:13:08.183182, 1681938788183.182,  -3.76429
2023-04-20 06:13:08.184182, 1681938788184.182,  -3.85769
2023-04-20 06:13:08.185182, 1681938788185.182,  -3.95110
2023-04-20 06:13:08.186182, 1681938788186.182,  -4.04451
2023-04-20 06:13:08.187182, 1681938788187.182,  -4.13791
2023-04-20 06:13:08.188182, 1681938788188.182,  -4.23132
2023-04-20 06:13:08.189182, 1681938788189.182,  -4.32784
2023-04-20 06:13:08.190182, 1681938788190.182,  -4.42125
2023-04-20 06:13:08.191182, 1681938788191.182,  -4.51777
2023-04-20 06:13:08.192182, 1681938788192.182,  -4.60806
2023-04-20 06:13:08.193182, 1681938788193.182,  -4.70769
2023-04-20 06:13:08.194182, 1681938788194.182,  -4.79487
2023-04-20 06:13:08.195182, 1681938788195.182,  -4.88516
2023-04-20 06:13:08.196182, 1681938788196.182,  -4.96923
2023-04-20 06:13:08.197182, 1681938788197.182,  -5.05952
2023-04-20 06:13:08.198182, 1681938788198.182,  -5.14048
2023-04-20 06:13:08.199182, 1681938788199.182,  -5.22766
2023-04-20 06:13:08.200182, 1681938788200.182,  -5.30861
2023-04-20 06:13:08.201182, 1681938788201.182,  -5.39579
2023-04-20 06:13:08.202182, 1681938788202.182,  -5.46740
2023-04-20 06:13:08.203182, 1681938788203.182,  -5.54835
2023-04-20 06:13:08.204182, 1681938788204.182,  -5.61996
2023-04-20 06:13:08.205182, 1681938788205.182,  -5.69780
2023-04-20 06:13:08.206182, 1681938788206.182,  -5.76941
2023-04-20 06:13:08.207182, 1681938788207.182,  -5.84414
2023-04-20 06:13:08.208182, 1681938788208.182,  -5.91264
2023-04-20 06:13:08.209182, 1681938788209.182,  -5.98425
2023-04-20 06:13:08.210182, 1681938788210.182,  -6.05275
2023-04-20 06:13:08.211182, 1681938788211.182,  -6.12125
2023-04-20 06:13:08.212182, 1681938788212.182,  -6.18974
2023-04-20 06:13:08.213182, 1681938788213.182,  -6.25824
2023-04-20 06:13:08.214182, 1681938788214.182,  -6.32051
