# Data acquisition time,Epoch time (ms),Distance
2023-04-20 06:13:07.840182,1681938787840.18,-3.87015
2023-04-20 06:13:07.841182,1681938787841.18,-3.77985
2023-04-20 06:13:07.842182,1681938787842.18,-3.68645
2023-04-20 06:13:07.843182,1681938787843.18,-3.58993
2023-04-20 06:13:07.844182,1681938787844.18,-3.49652
2023-04-20 06:13:07.845182,1681938787845.18,-3.40311
2023-04-20 06:13:07.846182,1681938787846.18,-3.30971
2023-04-20 06:13:07.847182,1681938787847.18,-3.2163
2023-04-20 06:13:07.848182,1681938787848.18,-3.11978
2023-04-20 06:13:07.849182,1681938787849.18,-3.02326
2023-04-20 06:13:07.850182,1681938787850.18,-2.92051
2023-04-20 06:13:07.851182,1681938787851.18,-2.81777
2023-04-20 06:13:07.852182,1681938787852.18,-2.71502
2023-04-20 06:13:07.853182,1681938787853.18,-2.61227
2023-04-20 06:13:07.854182,1681938787854.18,-2.50641
2023-04-20 06:13:07.855182,1681938787855.18,-2.40678
2023-04-20 06:13:07.856182,1681938787856.18,-2.30092
2023-04-20 06:13:07.857182,1681938787857.18,-2.20128
2023-04-20 06:13:07.858182,1681938787858.18,-2.09231
2023-04-20 06:13:07.859182,1681938787859.18,-1.98645
2023-04-20 06:13:07.860182,1681938787860.18,-1.88059
2023-04-20 06:13:07.861182,1681938787861.18,-1.77473
2023-04-20 06:13:07.862182,1681938787862.18,-1.66886
2023-04-20 06:13:07.863182,1681938787863.18,-1.56612
2023-04-20 06:13:07.864182,1681938787864.18,-1.46026
2023-04-20 06:13:07.865182,1681938787865.18,-1.36062
2023-04-20 06:13:07.866182,1681938787866.18,-1.25476
2023-04-20 06:13:07.867182,1681938787867.18,-1.1489
2023-04-20 06:13:07.868182,1681938787868.18,-1.04304
2023-04-20 06:13:07.869182,1681938787869.18,-0.93407
2023-04-20 06:13:07.870182,1681938787870.18,-0.83132
2023-04-20 06:13:07.871182,1681938787871.18,-0.72234
2023-04-20 06:13:07.872182,1681938787872.18,-0.6196
2023-04-20 06:13:07.873182,1681938787873.18,-0.51685
2023-04-20 06:13:07.874182,1681938787874.18,-0.40476
2023-04-20 06:13:07.875182,1681938787875.18,-0.2989
2023-04-20 06:13:07.876182,1681938787876.18,-0.18681
2023-04-20 06:13:07.877182,1681938787877.18,-0.08095
2023-04-20 06:13:07.878182,1681938787878.18,0.02802
2023-04-20 06:13:07.879182,1681938787879.18,0.14011
2023-04-20 06:13:07.880182,1681938787880.18,0.2522
2023-04-20 06:13:07.881182,1681938787881.18,0.36429
2023-04-20 06:13:07.882182,1681938787882.18,0.47326
2023-04-20 06:13:07.883182,1681938787883.18,0.58223
2023-04-20 06:13:07.884182,1681938787884.18,0.6881
2023-04-20 06:13:07.885182,1681938787885.18,0.79707
2023-04-20 06:13:07.886182,1681938787886.18,0.89982
2023-04-20 06:13:07.887182,1681938787887.18,1.00879
2023-04-20 06:13:07.888182,1681938787888.18,1.11465
2023-04-20 06:13:07.889182,1681938787889.18,1.22051
2023-04-20 06:13:07.890182,1681938787890.18,1.32326
2023-04-20 06:13:07.891182,1681938787891.18,1.42601
2023-04-20 06:13:07.892182,1681938787892.18,1.52564
2023-04-20 06:13:07.893182,1681938787893.18,1.62839
2023-04-20 06:13:07.894182,1681938787894.18,1.72802
2023-04-20 06:13:07.895182,1681938787895.18,1.83388
2023-04-20 06:13:07.896182,1681938787896.18,1.93663
2023-04-20 06:13:07.897182,1681938787897.18,2.0456
2023-04-20 06:13:07.898182,1681938787898.18,2.14835
2023-04-20 06:13:07.899182,1681938787899.18,2.25733
2023-04-20 06:13:07.900182,1681938787900.18,2.36319
2023-04-20 06:13:07.901182,1681938787901.18,2.46905
2023-04-20 06:13:07.902182,1681938787902.18,2.57802
2023-04-20 06:13:07.903182,1681938787903.18,2.68388
2023-04-20 06:13:07.904182,1681938787904.18,2.8022
2023-04-20 06:13:07.905182,1681938787905.18,2.91429
2023-04-20 06:13:07.906182,1681938787906.18,3.02637
2023-04-20 06:13:07.907182,1681938787907.18,3.13846
2023-04-20 06:13:07.908182,1681938787908.18,3.25055
2023-04-20 06:13:07.909182,1681938787909.18,3.36264
2023-04-20 06:13:07.910182,1681938787910.18,3.46538
2023-04-20 06:13:07.911182,1681938787911.18,3.57436
2023-04-20 06:13:07.912182,1681938787912.18,3.67711
2023-04-20 06:13:07.913182,1681938787913.18,3.78608
2023-04-20 06:13:07.914182,1681938787914.18,3.88883
2023-04-20 06:13:07.915182,1681938787915.18,3.99469
2023-04-20 06:13:07.916182,1681938787916.18,4.10366
2023-04-20 06:13:07.917182,1681938787917.18,4.20952
2023-04-20 06:13:07.918182,1681938787918.18,4.31227
2023-04-20 06:13:07.919182,1681938787919.18,4.42125
2023-04-20 06:13:07.920182,1681938787920.18,4.52088
2023-04-20 06:13:07.921182,1681938787921.18,4.62674
2023-04-20 06:13:07.922182,1681938787922.18,4.72326
2023-04-20 06:13:07.923182,1681938787923.18,4.82912
2023-04-20 06:13:07.924182,1681938787924.18,4.92875
2023-04-20 06:13:07.925182,1681938787925.18,5.0315
2023-04-20 06:13:07.926182,1681938787926.18,5.12491
2023-04-20 06:13:07.927182,1681938787927.18,5.22454
2023-04-20 06:13:07.928182,1681938787928.18,5.32418
2023-04-20 06:13:07.929182,1681938787929.18,5.4207
2023-04-20 06:13:07.930182,1681938787930.18,5.52033
