%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1681066129214709281,0,1681066129214709281,camera_1,1
1681066129234729051,1,1681066129234729051,camera_1,3
1681066129244833946,2,1681066129244833946,camera_1,4
1681066129254853725,3,1681066129254853725,camera_1,5
1681066129264787435,4,1681066129264787435,camera_1,6
1681066129274816036,5,1681066129274816036,camera_1,7
1681066129284714937,6,1681066129284714937,camera_1,8
1681066129294833660,7,1681066129294833660,camera_1,9
1681066129304729700,8,1681066129304729700,camera_1,10
1681066129314629554,9,1681066129314629554,camera_1,11
1681066129324877500,10,1681066129324877500,camera_1,12
1681066129334739446,11,1681066129334739446,camera_1,13
1681066129344760417,12,1681066129344760417,camera_1,14
1681066129354668855,13,1681066129354668855,camera_1,15
1681066129364736080,14,1681066129364736080,camera_1,16
1681066129374677419,15,1681066129374677419,camera_1,17
1681066129384706974,16,1681066129384706974,camera_1,18
1681066129394619464,17,1681066129394619464,camera_1,19
1681066129404692888,18,1681066129404692888,camera_1,20
1681066129414834976,19,1681066129414834976,camera_1,21
1681066129424729824,20,1681066129424729824,camera_1,22
1681066129434716463,21,1681066129434716463,camera_1,23
1681066129444786548,22,1681066129444786548,camera_1,24
1681066129454801082,23,1681066129454801082,camera_1,25
1681066129464790821,24,1681066129464790821,camera_1,26
1681066129474814176,25,1681066129474814176,camera_1,27
1681066129484752178,26,1681066129484752178,camera_1,28
1681066129494764804,27,1681066129494764804,camera_1,29
1681066129504786491,28,1681066129504786491,camera_1,30
1681066129514580726,29,1681066129514580726,camera_1,31
1681066129525005102,30,1681066129525005102,camera_1,32
1681066129534836292,31,1681066129534836292,camera_1,33
1681066129544776916,32,1681066129544776916,camera_1,34
1681066129554853439,33,1681066129554853439,camera_1,35
1681066129564742803,34,1681066129564742803,camera_1,36
1681066129575001955,35,1681066129575001955,camera_1,37
1681066129584597349,36,1681066129584597349,camera_1,38
1681066129594863176,37,1681066129594863176,camera_1,39
1681066129604790687,38,1681066129604790687,camera_1,40
1681066129614701032,39,1681066129614701032,camera_1,41
1681066129624780893,40,1681066129624780893,camera_1,42
1681066129634772062,41,1681066129634772062,camera_1,43
1681066129644710540,42,1681066129644710540,camera_1,44
1681066129654773712,43,1681066129654773712,camera_1,45
1681066129664683341,44,1681066129664683341,camera_1,46
1681066129674633264,45,1681066129674633264,camera_1,47
1681066129684838056,46,1681066129684838056,camera_1,48
1681066129694728612,47,1681066129694728612,camera_1,49
1681066129704927444,48,1681066129704927444,camera_1,50
1681066129714804649,49,1681066129714804649,camera_1,51
1681066129724751710,50,1681066129724751710,camera_1,52
1681066129734700202,51,1681066129734700202,camera_1,53
1681066129744752883,52,1681066129744752883,camera_1,54
1681066129754851102,53,1681066129754851102,camera_1,55
1681066129764883279,54,1681066129764883279,camera_1,56
1681066129774710178,55,1681066129774710178,camera_1,57
1681066129784844636,56,1681066129784844636,camera_1,58
1681066129794791936,57,1681066129794791936,camera_1,59
1681066129804677009,58,1681066129804677009,camera_1,60
1681066129814944744,59,1681066129814944744,camera_1,61
1681066129824885606,60,1681066129824885606,camera_1,62
1681066129834792852,61,1681066129834792852,camera_1,63
1681066129844451904,62,1681066129844451904,camera_1,64
1681066129854453086,63,1681066129854453086,camera_1,65
1681066129864857912,64,1681066129864857912,camera_1,66
1681066129874838113,65,1681066129874838113,camera_1,67
1681066129884792327,66,1681066129884792327,camera_1,68
1681066129894745826,67,1681066129894745826,camera_1,69
1681066129904841899,68,1681066129904841899,camera_1,70
1681066129914889574,69,1681066129914889574,camera_1,71
1681066129924778938,70,1681066129924778938,camera_1,72
1681066129934893131,71,1681066129934893131,camera_1,73
1681066129944765329,72,1681066129944765329,camera_1,74
1681066129954777956,73,1681066129954777956,camera_1,75
1681066129964790821,74,1681066129964790821,camera_1,76
1681066129974765300,75,1681066129974765300,camera_1,77
1681066129984800815,76,1681066129984800815,camera_1,78
1681066129994710683,77,1681066129994710683,camera_1,79
1681066130004589319,78,1681066130004589319,camera_1,80
1681066130014697790,79,1681066130014697790,camera_1,81
1681066130024701595,80,1681066130024701595,camera_1,82
1681066130034853696,81,1681066130034853696,camera_1,83
1681066130044754505,82,1681066130044754505,camera_1,84
1681066130054730415,83,1681066130054730415,camera_1,85
1681066130064779043,84,1681066130064779043,camera_1,86
1681066130074673175,85,1681066130074673175,camera_1,87
1681066130084689855,86,1681066130084689855,camera_1,88
1681066130094773530,87,1681066130094773530,camera_1,89
1681066130104546785,88,1681066130104546785,camera_1,90
1681066130115308046,89,1681066130115308046,camera_1,91
1681066130126692771,90,1681066130126692771,camera_1,92
1681066130136293411,91,1681066130136293411,camera_1,93
1681066130144991397,92,1681066130144991397,camera_1,94
1681066130154924392,93,1681066130154924392,camera_1,95
1681066130165035486,94,1681066130165035486,camera_1,96
1681066130174679756,95,1681066130174679756,camera_1,97
1681066130184923887,96,1681066130184923887,camera_1,98
1681066130194848537,97,1681066130194848537,camera_1,99
1681066130205079317,98,1681066130205079317,camera_1,100
1681066130214673042,99,1681066130214673042,camera_1,101
1681066130224837541,100,1681066130224837541,camera_1,102
1681066130234854221,101,1681066130234854221,camera_1,103
1681066130244755744,102,1681066130244755744,camera_1,104
1681066130254753112,103,1681066130254753112,camera_1,105
1681066130264778614,104,1681066130264778614,camera_1,106
1681066130274674177,105,1681066130274674177,camera_1,107
1681066130284692049,106,1681066130284692049,camera_1,108
1681066130294667243,107,1681066130294667243,camera_1,109
1681066130304732084,108,1681066130304732084,camera_1,110
1681066130314754486,109,1681066130314754486,camera_1,111
1681066130324954986,110,1681066130324954986,camera_1,112
1681066130334905862,111,1681066130334905862,camera_1,113
1681066130344838380,112,1681066130344838380,camera_1,114
1681066130354767322,113,1681066130354767322,camera_1,115
1681066130364957094,114,1681066130364957094,camera_1,116
1681066130374813079,115,1681066130374813079,camera_1,117
1681066130384706258,116,1681066130384706258,camera_1,118
1681066130394656419,117,1681066130394656419,camera_1,119
1681066130404813766,118,1681066130404813766,camera_1,120
1681066130414916753,119,1681066130414916753,camera_1,121
1681066130424787282,120,1681066130424787282,camera_1,122
1681066130434715747,121,1681066130434715747,camera_1,123
1681066130444724798,122,1681066130444724798,camera_1,124
1681066130454792499,123,1681066130454792499,camera_1,125
1681066130464747190,124,1681066130464747190,camera_1,126
1681066130474757909,125,1681066130474757909,camera_1,127
1681066130484755277,126,1681066130484755277,camera_1,128
1681066130494841098,127,1681066130494841098,camera_1,129
1681066130504692554,128,1681066130504692554,camera_1,130
1681066130514849901,129,1681066130514849901,camera_1,131
1681066130524824619,130,1681066130524824619,camera_1,132
1681066130534851312,131,1681066130534851312,camera_1,133
1681066130544827222,132,1681066130544827222,camera_1,134
1681066130554690122,133,1681066130554690122,camera_1,135
1681066130564831256,134,1681066130564831256,camera_1,136
1681066130574864625,135,1681066130574864625,camera_1,137
1681066130584751844,136,1681066130584751844,camera_1,138
1681066130594643115,137,1681066130594643115,camera_1,139
1681066130604699611,138,1681066130604699611,camera_1,140
1681066130614871263,139,1681066130614871263,camera_1,141
1681066130624699592,140,1681066130624699592,camera_1,142
1681066130634714841,141,1681066130634714841,camera_1,143
1681066130644840240,142,1681066130644840240,camera_1,144
1681066130654719591,143,1681066130654719591,camera_1,145
1681066130664613485,144,1681066130664613485,camera_1,146
1681066130674729108,145,1681066130674729108,camera_1,147
1681066130684680461,146,1681066130684680461,camera_1,148
1681066130694818258,147,1681066130694818258,camera_1,149
1681066130704837083,148,1681066130704837083,camera_1,150
