%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1684336000794044971,20,1684336000794044971,camera_1,32
1684336000807285070,21,1684336000807285070,camera_1,34
1684336000834094047,22,1684336000834094047,camera_1,37
1684336000847311258,23,1684336000847311258,camera_1,39
1684336000853982686,24,1684336000853982686,camera_1,40
1684336000867115020,25,1684336000867115020,camera_1,42
1684336000880701065,26,1684336000880701065,camera_1,44
1684336000894313573,27,1684336000894313573,camera_1,46
1684336000907483816,28,1684336000907483816,camera_1,48
1684336000914015293,29,1684336000914015293,camera_1,49
1684336000927350044,30,1684336000927350044,camera_1,51
1684336000940675020,31,1684336000940675020,camera_1,53
1684336000947482585,32,1684336000947482585,camera_1,54
1684336000954416275,33,1684336000954416275,camera_1,55
1684336000974693298,34,1684336000974693298,camera_1,57
1684336000981192588,35,1684336000981192588,camera_1,58
1684336000994274377,36,1684336000994274377,camera_1,60
1684336001001253366,37,1684336001001253366,camera_1,61
1684336001014708042,38,1684336001014708042,camera_1,63
1684336001021084070,39,1684336001021084070,camera_1,64
1684336001034342288,40,1684336001034342288,camera_1,66
1684336001041172742,41,1684336001041172742,camera_1,67
1684336001047898769,42,1684336001047898769,camera_1,68
1684336001054586887,43,1684336001054586887,camera_1,69
1684336001067890644,44,1684336001067890644,camera_1,71
1684336001081384897,45,1684336001081384897,camera_1,73
1684336001087741613,46,1684336001087741613,camera_1,74
1684336001100830316,47,1684336001100830316,camera_1,76
1684336001107282161,48,1684336001107282161,camera_1,77
1684336001114197015,49,1684336001114197015,camera_1,78
1684336001127299785,50,1684336001127299785,camera_1,80
1684336001147272348,51,1684336001147272348,camera_1,82
1684336001160703897,52,1684336001160703897,camera_1,84
1684336001167459249,53,1684336001167459249,camera_1,85
1684336001173964977,54,1684336001173964977,camera_1,86
1684336001180559873,55,1684336001180559873,camera_1,87
1684336001193973779,56,1684336001193973779,camera_1,89
1684336001200633049,57,1684336001200633049,camera_1,90
1684336001207438945,58,1684336001207438945,camera_1,91
1684336001220700979,59,1684336001220700979,camera_1,93
1684336001227484703,60,1684336001227484703,camera_1,94
1684336001241113424,61,1684336001241113424,camera_1,96
1684336001247782468,62,1684336001247782468,camera_1,97
1684336001261126756,63,1684336001261126756,camera_1,99
1684336001267668247,64,1684336001267668247,camera_1,100
1684336001281033277,65,1684336001281033277,camera_1,102
1684336001294319391,66,1684336001294319391,camera_1,104
1684336001307464599,67,1684336001307464599,camera_1,105
1684336001314109086,68,1684336001314109086,camera_1,106
1684336001327255249,69,1684336001327255249,camera_1,108
1684336001340684175,70,1684336001340684175,camera_1,110
1684336001354071855,71,1684336001354071855,camera_1,112
1684336001367411375,72,1684336001367411375,camera_1,114
1684336001387397527,73,1684336001387397527,camera_1,116
1684336001401073932,74,1684336001401073932,camera_1,118
1684336001414266586,75,1684336001414266586,camera_1,120
1684336001427320480,76,1684336001427320480,camera_1,122
1684336001440681219,77,1684336001440681219,camera_1,124
1684336001454241752,78,1684336001454241752,camera_1,126
1684336001467731237,79,1684336001467731237,camera_1,128
1684336001481174468,80,1684336001481174468,camera_1,130
1684336001501124382,81,1684336001501124382,camera_1,133
1684336001514691591,82,1684336001514691591,camera_1,135
1684336001527698755,83,1684336001527698755,camera_1,137
1684336001540634393,84,1684336001540634393,camera_1,139
1684336001560668706,85,1684336001560668706,camera_1,141
1684336001567422866,86,1684336001567422866,camera_1,142
1684336001580825805,87,1684336001580825805,camera_1,144
1684336001587344408,88,1684336001587344408,camera_1,145
1684336001600191831,89,1684336001600191831,camera_1,147
1684336001607002258,90,1684336001607002258,camera_1,148
1684336001620747327,91,1684336001620747327,camera_1,150
1684336001634036064,92,1684336001634036064,camera_1,152
1684336001640542745,93,1684336001640542745,camera_1,153
1684336001653972387,94,1684336001653972387,camera_1,155
1684336001667634487,95,1684336001667634487,camera_1,157
1684336001680955171,96,1684336001680955171,camera_1,159
1684336001687612533,97,1684336001687612533,camera_1,160
1684336001694421052,98,1684336001694421052,camera_1,161
1684336001707905054,99,1684336001707905054,camera_1,163
1684336001721225261,100,1684336001721225261,camera_1,165
1684336001734380245,101,1684336001734380245,camera_1,167
1684336001747773170,102,1684336001747773170,camera_1,169
1684336001761111736,103,1684336001761111736,camera_1,171
1684336001774520874,104,1684336001774520874,camera_1,173
1684336001780930280,105,1684336001780930280,camera_1,174
