%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1683662780492809295,0,1683662780492809295,camera_3,1
1683662780510479927,1,1683662780510479927,camera_3,2
1683662780527682304,2,1683662780527682304,camera_3,3
1683662780544567584,3,1683662780544567584,camera_3,4
1683662780562368392,4,1683662780562368392,camera_3,5
1683662780579821825,5,1683662780579821825,camera_3,6
1683662780596575975,6,1683662780596575975,camera_3,7
1683662780613579988,7,1683662780613579988,camera_3,8
1683662780630175113,8,1683662780630175113,camera_3,9
1683662780647319555,9,1683662780647319555,camera_3,10
1683662780663914918,10,1683662780663914918,camera_3,11
1683662780680995941,11,1683662780680995941,camera_3,12
1683662780698446750,12,1683662780698446750,camera_3,13
1683662780715415477,13,1683662780715415477,camera_3,14
1683662780731797933,14,1683662780731797933,camera_3,15
1683662780748711824,15,1683662780748711824,camera_3,16
1683662780765906095,16,1683662780765906095,camera_3,17
1683662780782798767,17,1683662780782798767,camera_3,18
1683662780799536705,18,1683662780799536705,camera_3,19
1683662780817255258,19,1683662780817255258,camera_3,20
1683662780834814548,20,1683662780834814548,camera_3,21
1683662780851939678,21,1683662780851939678,camera_3,22
1683662780869544029,22,1683662780869544029,camera_3,23
1683662780887443542,23,1683662780887443542,camera_3,24
1683662780904124975,24,1683662780904124975,camera_3,25
1683662780922049522,25,1683662780922049522,camera_3,26
1683662780938305139,26,1683662780938305139,camera_3,27
1683662780955902576,27,1683662780955902576,camera_3,28
1683662780972049236,28,1683662780972049236,camera_3,29
1683662780989637613,29,1683662780989637613,camera_3,30
1683662781006722450,30,1683662781006722450,camera_3,31
1683662781025993108,31,1683662781025993108,camera_3,32
1683662781044106721,32,1683662781044106721,camera_3,33
1683662781058509349,33,1683662781058509349,camera_3,34
1683662781074939966,34,1683662781074939966,camera_3,35
1683662781092192411,35,1683662781092192411,camera_3,36
1683662781109667301,36,1683662781109667301,camera_3,37
1683662781126729965,37,1683662781126729965,camera_3,38
1683662781143836975,38,1683662781143836975,camera_3,39
1683662781161159753,39,1683662781161159753,camera_3,40
1683662781177948951,40,1683662781177948951,camera_3,41
1683662781194560766,41,1683662781194560766,camera_3,42
1683662781211445331,42,1683662781211445331,camera_3,43
1683662781228402137,43,1683662781228402137,camera_3,44
1683662781245209932,44,1683662781245209932,camera_3,45
1683662781262081623,45,1683662781262081623,camera_3,46
1683662781279071569,46,1683662781279071569,camera_3,47
1683662781296655178,47,1683662781296655178,camera_3,48
1683662781313395261,48,1683662781313395261,camera_3,49
1683662781330002784,49,1683662781330002784,camera_3,50
