%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1683661833741791486,9,1683661833741791486,camera_1,10
1683661833760381698,10,1683661833760381698,camera_1,11
1683661833779097318,11,1683661833779097318,camera_1,12
1683661833798590898,12,1683661833798590898,camera_1,13
1683661833817806005,13,1683661833817806005,camera_1,14
1683661833836683034,14,1683661833836683034,camera_1,15
1683661833855904817,15,1683661833855904817,camera_1,16
1683661833874658823,16,1683661833874658823,camera_1,17
1683661833893506765,17,1683661833893506765,camera_1,18
1683661833912228584,18,1683661833912228584,camera_1,19
1683661833931129455,19,1683661833931129455,camera_1,20
1683661833950186967,20,1683661833950186967,camera_1,21
1683661833968739748,21,1683661833968739748,camera_1,22
1683661833987819671,22,1683661833987819671,camera_1,23
1683661834006953001,23,1683661834006953001,camera_1,24
1683661834026184558,24,1683661834026184558,camera_1,25
1683661834045150995,25,1683661834045150995,camera_1,26
1683661834064851999,26,1683661834064851999,camera_1,27
1683661834084150791,27,1683661834084150791,camera_1,28
1683661834103383302,28,1683661834103383302,camera_1,29
1683661834122520923,29,1683661834122520923,camera_1,30
1683661834142199516,30,1683661834142199516,camera_1,31
1683661834161728143,31,1683661834161728143,camera_1,32
1683661834181051254,32,1683661834181051254,camera_1,33
1683661834200228214,33,1683661834200228214,camera_1,34
1683661834219912052,34,1683661834219912052,camera_1,35
1683661834238312959,35,1683661834238312959,camera_1,36
1683661834258419036,36,1683661834258419036,camera_1,37
1683661834277604103,37,1683661834277604103,camera_1,38
1683661834297201871,38,1683661834297201871,camera_1,39
1683661834316627502,39,1683661834316627502,camera_1,40
1683661834335888147,40,1683661834335888147,camera_1,41
1683661834355062484,41,1683661834355062484,camera_1,42
1683661834374276399,42,1683661834374276399,camera_1,43
1683661834393861532,43,1683661834393861532,camera_1,44
1683661834413449287,44,1683661834413449287,camera_1,45
1683661834432991266,45,1683661834432991266,camera_1,46
1683661834452327251,46,1683661834452327251,camera_1,47
1683661834471438646,47,1683661834471438646,camera_1,48
1683661834490752220,48,1683661834490752220,camera_1,49
1683661834509817838,49,1683661834509817838,camera_1,50
1683661834529773712,50,1683661834529773712,camera_1,51
1683661834549053430,51,1683661834549053430,camera_1,52
1683661834568036079,52,1683661834568036079,camera_1,53
1683661834587738037,53,1683661834587738037,camera_1,54
1683661834607168674,54,1683661834607168674,camera_1,55
1683661834626461744,55,1683661834626461744,camera_1,56
1683661834645896196,56,1683661834645896196,camera_1,57
1683661834665026903,57,1683661834665026903,camera_1,58
1683661834684691190,58,1683661834684691190,camera_1,59
1683661834703295469,59,1683661834703295469,camera_1,60
1683661834722667455,60,1683661834722667455,camera_1,61
1683661834742167234,61,1683661834742167234,camera_1,62
1683661834761688470,62,1683661834761688470,camera_1,63
1683661834780981302,63,1683661834780981302,camera_1,64
1683661834800392627,64,1683661834800392627,camera_1,65
1683661834819585561,65,1683661834819585561,camera_1,66
1683661834839470624,66,1683661834839470624,camera_1,67
1683661834858408212,67,1683661834858408212,camera_1,68
1683661834877503633,68,1683661834877503633,camera_1,69
1683661834897277355,69,1683661834897277355,camera_1,70
1683661834916013717,70,1683661834916013717,camera_1,71
1683661834935885906,71,1683661834935885906,camera_1,72
1683661834955454111,72,1683661834955454111,camera_1,73
1683661834974541664,73,1683661834974541664,camera_1,74
1683661834994402885,74,1683661834994402885,camera_1,75
1683661835013342857,75,1683661835013342857,camera_1,76
1683661835032903194,76,1683661835032903194,camera_1,77
