%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1683163788649101734,11,1683163788649101734,camera_3,12
1683163788666746616,12,1683163788666746616,camera_3,13
1683163788683190822,13,1683163788683190822,camera_3,14
1683163788700341939,14,1683163788700341939,camera_3,15
1683163788716486215,15,1683163788716486215,camera_3,16
1683163788733603954,16,1683163788733603954,camera_3,17
1683163788750011205,17,1683163788750011205,camera_3,18
1683163788766503095,18,1683163788766503095,camera_3,19
1683163788783152341,19,1683163788783152341,camera_3,20
1683163788800240278,20,1683163788800240278,camera_3,21
1683163788816321611,21,1683163788816321611,camera_3,22
1683163788833217859,22,1683163788833217859,camera_3,23
1683163788850443601,23,1683163788850443601,camera_3,24
1683163788867234230,24,1683163788867234230,camera_3,25
1683163788883448600,25,1683163788883448600,camera_3,26
1683163788900344610,26,1683163788900344610,camera_3,27
1683163788917146921,27,1683163788917146921,camera_3,28
1683163788933443546,28,1683163788933443546,camera_3,29
1683163788950220584,29,1683163788950220584,camera_3,30
1683163788967776298,30,1683163788967776298,camera_3,31
1683163788985716819,31,1683163788985716819,camera_3,32
1683163789002127647,32,1683163789002127647,camera_3,33
1683163789019518375,33,1683163789019518375,camera_3,34
1683163789036079883,34,1683163789036079883,camera_3,35
1683163789054079294,35,1683163789054079294,camera_3,36
1683163789072353839,36,1683163789072353839,camera_3,37
1683163789089661598,37,1683163789089661598,camera_3,38
1683163789106128454,38,1683163789106128454,camera_3,39
1683163789123091220,39,1683163789123091220,camera_3,40
1683163789139785528,40,1683163789139785528,camera_3,41
1683163789156914710,41,1683163789156914710,camera_3,42
1683163789173485517,42,1683163789173485517,camera_3,43
1683163789191007137,43,1683163789191007137,camera_3,44
1683163789209944248,44,1683163789209944248,camera_3,45
1683163789226738214,45,1683163789226738214,camera_3,46
1683163789243320226,46,1683163789243320226,camera_3,47
1683163789260395526,47,1683163789260395526,camera_3,48
1683163789276341676,48,1683163789276341676,camera_3,49
1683163789294378042,49,1683163789294378042,camera_3,50
1683163789310857534,50,1683163789310857534,camera_3,51
1683163789328021526,51,1683163789328021526,camera_3,52
1683163789344655990,52,1683163789344655990,camera_3,53
1683163789360994100,53,1683163789360994100,camera_3,54
1683163789379074096,54,1683163789379074096,camera_3,55
1683163789396094799,55,1683163789396094799,camera_3,56
1683163789412458658,56,1683163789412458658,camera_3,57
1683163789431910514,57,1683163789431910514,camera_3,58
1683163789447725534,58,1683163789447725534,camera_3,59
1683163789465408802,59,1683163789465408802,camera_3,60
1683163789482619285,60,1683163789482619285,camera_3,61
1683163789498625040,61,1683163789498625040,camera_3,62
1683163789515487670,62,1683163789515487670,camera_3,63
1683163789532955169,63,1683163789532955169,camera_3,64
1683163789551381587,64,1683163789551381587,camera_3,65
1683163789567732810,65,1683163789567732810,camera_3,66
1683163789584182977,66,1683163789584182977,camera_3,67
1683163789601238965,67,1683163789601238965,camera_3,68
1683163789617797374,68,1683163789617797374,camera_3,69
1683163789635059595,69,1683163789635059595,camera_3,70
1683163789651486635,70,1683163789651486635,camera_3,71
1683163789668378353,71,1683163789668378353,camera_3,72
1683163789685972213,72,1683163789685972213,camera_3,73
1683163789702497482,73,1683163789702497482,camera_3,74
1683163789719631433,74,1683163789719631433,camera_3,75
1683163789736661911,75,1683163789736661911,camera_3,76
1683163789754445314,76,1683163789754445314,camera_3,77
1683163789770942449,77,1683163789770942449,camera_3,78
1683163789787817478,78,1683163789787817478,camera_3,79
1683163789803546667,79,1683163789803546667,camera_3,80
1683163789820807218,80,1683163789820807218,camera_3,81
1683163789837746143,81,1683163789837746143,camera_3,82
1683163789853979110,82,1683163789853979110,camera_3,83
1683163789871366500,83,1683163789871366500,camera_3,84
1683163789889197587,84,1683163789889197587,camera_3,85
1683163789904838800,85,1683163789904838800,camera_3,86
1683163789922176837,86,1683163789922176837,camera_3,87
1683163789938322067,87,1683163789938322067,camera_3,88
1683163789955208539,88,1683163789955208539,camera_3,89
1683163789973340988,89,1683163789973340988,camera_3,90
1683163789990057945,90,1683163789990057945,camera_3,91
1683163790008671998,91,1683163790008671998,camera_3,92
1683163790024834632,92,1683163790024834632,camera_3,93
1683163790039803743,93,1683163790039803743,camera_3,94
1683163790057187557,94,1683163790057187557,camera_3,95
1683163790073969364,95,1683163790073969364,camera_3,96
1683163790090597867,96,1683163790090597867,camera_3,97
1683163790109006404,97,1683163790109006404,camera_3,98
1683163790126327514,98,1683163790126327514,camera_3,99
1683163790142163038,99,1683163790142163038,camera_3,100
1683163790158853530,100,1683163790158853530,camera_3,101
1683163790177310228,101,1683163790177310228,camera_3,102
1683163790195410728,102,1683163790195410728,camera_3,103
1683163790211744785,103,1683163790211744785,camera_3,104
1683163790229144334,104,1683163790229144334,camera_3,105
1683163790247635602,105,1683163790247635602,camera_3,106
1683163790264878273,106,1683163790264878273,camera_3,107
1683163790281963348,107,1683163790281963348,camera_3,108
1683163790298539876,108,1683163790298539876,camera_3,109
1683163790316213607,109,1683163790316213607,camera_3,110
1683163790332591533,110,1683163790332591533,camera_3,111
1683163790350193738,111,1683163790350193738,camera_3,112
1683163790368200302,112,1683163790368200302,camera_3,113
1683163790384874582,113,1683163790384874582,camera_3,114
1683163790403049230,114,1683163790403049230,camera_3,115
1683163790420099020,115,1683163790420099020,camera_3,116
1683163790438086986,116,1683163790438086986,camera_3,117
1683163790455327033,117,1683163790455327033,camera_3,118
1683163790473599195,118,1683163790473599195,camera_3,119
1683163790491220712,119,1683163790491220712,camera_3,120
1683163790508284330,120,1683163790508284330,camera_3,121
1683163790525195360,121,1683163790525195360,camera_3,122
1683163790541869401,122,1683163790541869401,camera_3,123
1683163790559338092,123,1683163790559338092,camera_3,124
1683163790577302217,124,1683163790577302217,camera_3,125
1683163790595222711,125,1683163790595222711,camera_3,126
1683163790611147403,126,1683163790611147403,camera_3,127
1683163790627037286,127,1683163790627037286,camera_3,128
1683163790644460201,128,1683163790644460201,camera_3,129
1683163790660945892,129,1683163790660945892,camera_3,130
1683163790677796363,130,1683163790677796363,camera_3,131
1683163790694893360,131,1683163790694893360,camera_3,132
1683163790711514711,132,1683163790711514711,camera_3,133
1683163790728015422,133,1683163790728015422,camera_3,134
1683163790744334220,134,1683163790744334220,camera_3,135
1683163790761346817,135,1683163790761346817,camera_3,136
1683163790778998613,136,1683163790778998613,camera_3,137
1683163790796188116,137,1683163790796188116,camera_3,138
1683163790812968015,138,1683163790812968015,camera_3,139
1683163790829785108,139,1683163790829785108,camera_3,140
1683163790846571922,140,1683163790846571922,camera_3,141
1683163790863828897,141,1683163790863828897,camera_3,142
1683163790881089687,142,1683163790881089687,camera_3,143
1683163790898470640,143,1683163790898470640,camera_3,144
1683163790914171934,144,1683163790914171934,camera_3,145
1683163790930683851,145,1683163790930683851,camera_3,146
1683163790947836875,146,1683163790947836875,camera_3,147
1683163790964503049,147,1683163790964503049,camera_3,148
1683163790981205463,148,1683163790981205463,camera_3,149
1683163790997972726,149,1683163790997972726,camera_3,150
1683163791015079498,150,1683163791015079498,camera_3,151
1683163791031030416,151,1683163791031030416,camera_3,152
1683163791048231840,152,1683163791048231840,camera_3,153
1683163791065407991,153,1683163791065407991,camera_3,154
1683163791083350419,154,1683163791083350419,camera_3,155
1683163791101314544,155,1683163791101314544,camera_3,156
1683163791119736671,156,1683163791119736671,camera_3,157
1683163791136910676,157,1683163791136910676,camera_3,158
1683163791153664350,158,1683163791153664350,camera_3,159
1683163791170950889,159,1683163791170950889,camera_3,160
1683163791188092231,160,1683163791188092231,camera_3,161
1683163791204717874,161,1683163791204717874,camera_3,162
1683163791221650600,162,1683163791221650600,camera_3,163
1683163791239947557,163,1683163791239947557,camera_3,164
1683163791256457328,164,1683163791256457328,camera_3,165
1683163791272857904,165,1683163791272857904,camera_3,166
1683163791289514064,166,1683163791289514064,camera_3,167
1683163791306916713,167,1683163791306916713,camera_3,168
1683163791324674129,168,1683163791324674129,camera_3,169
1683163791341427564,169,1683163791341427564,camera_3,170
1683163791358786106,170,1683163791358786106,camera_3,171
1683163791376613855,171,1683163791376613855,camera_3,172
1683163791393319368,172,1683163791393319368,camera_3,173
1683163791410595893,173,1683163791410595893,camera_3,174
1683163791427057504,174,1683163791427057504,camera_3,175
1683163791443896055,175,1683163791443896055,camera_3,176
1683163791460594415,176,1683163791460594415,camera_3,177
1683163791477644205,177,1683163791477644205,camera_3,178
1683163791495879650,178,1683163791495879650,camera_3,179
1683163791512111663,179,1683163791512111663,camera_3,180
1683163791529345273,180,1683163791529345273,camera_3,181
1683163791547071218,181,1683163791547071218,camera_3,182
1683163791563545227,182,1683163791563545227,camera_3,183
1683163791580112934,183,1683163791580112934,camera_3,184
1683163791597741127,184,1683163791597741127,camera_3,185
1683163791615655422,185,1683163791615655422,camera_3,186
1683163791633022069,186,1683163791633022069,camera_3,187
1683163791649752140,187,1683163791649752140,camera_3,188
1683163791667246341,188,1683163791667246341,camera_3,189
1683163791682996034,189,1683163791682996034,camera_3,190
1683163791700383901,190,1683163791700383901,camera_3,191
1683163791717983961,191,1683163791717983961,camera_3,192
1683163791734810829,192,1683163791734810829,camera_3,193
1683163791753047466,193,1683163791753047466,camera_3,194
1683163791769810914,194,1683163791769810914,camera_3,195
1683163791786994457,195,1683163791786994457,camera_3,196
1683163791804788827,196,1683163791804788827,camera_3,197
1683163791822043895,197,1683163791822043895,camera_3,198
1683163791838808774,198,1683163791838808774,camera_3,199
1683163791856986284,199,1683163791856986284,camera_3,200
1683163791875255823,200,1683163791875255823,camera_3,201
1683163791892553329,201,1683163791892553329,camera_3,202
1683163791909271240,202,1683163791909271240,camera_3,203
1683163791927440166,203,1683163791927440166,camera_3,204
1683163791944839000,204,1683163791944839000,camera_3,205
1683163791962652921,205,1683163791962652921,camera_3,206
1683163791980125427,206,1683163791980125427,camera_3,207
