%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1681924183181708812,3,1681924183181708812,camera_2,3
1681924183191523313,4,1681924183191523313,camera_2,4
1681924183201727628,5,1681924183201727628,camera_2,5
1681924183211778879,6,1681924183211778879,camera_2,6
1681924183221791982,7,1681924183221791982,camera_2,7
1681924183231803655,8,1681924183231803655,camera_2,8
1681924183241798877,9,1681924183241798877,camera_2,9
1681924183251704931,10,1681924183251704931,camera_2,10
1681924183261904478,11,1681924183261904478,camera_2,11
1681924183271743535,12,1681924183271743535,camera_2,12
1681924183281765222,13,1681924183281765222,camera_2,13
1681924183291666030,14,1681924183291666030,camera_2,14
1681924183302021741,15,1681924183302021741,camera_2,15
1681924183311853170,16,1681924183311853170,camera_2,16
1681924183321757793,17,1681924183321757793,camera_2,17
1681924183331969499,18,1681924183331969499,camera_2,18
1681924183341942071,19,1681924183341942071,camera_2,19
1681924183351800680,20,1681924183351800680,camera_2,20
1681924183361772775,21,1681924183361772775,camera_2,21
1681924183371857404,22,1681924183371857404,camera_2,22
1681924183381778240,23,1681924183381778240,camera_2,23
1681924183391944646,24,1681924183391944646,camera_2,24
1681924183401789665,25,1681924183401789665,camera_2,25
1681924183411395788,26,1681924183411395788,camera_2,26
1681924183421555757,27,1681924183421555757,camera_2,27
1681924183431723117,28,1681924183431723117,camera_2,28
1681924183440736055,29,1681924183440736055,camera_2,29
1681924183450687646,30,1681924183450687646,camera_2,30
1681924183460709333,31,1681924183460709333,camera_2,31
1681924183470800399,32,1681924183470800399,camera_2,32
1681924183481593132,33,1681924183481593132,camera_2,33
1681924183492564201,34,1681924183492564201,camera_2,34
1681924183501831769,35,1681924183501831769,camera_2,35
1681924183511981725,36,1681924183511981725,camera_2,36
1681924183522530317,37,1681924183522530317,camera_2,37
1681924183531883001,38,1681924183531883001,camera_2,38
1681924183542421817,39,1681924183542421817,camera_2,39
1681924183552589654,40,1681924183552589654,camera_2,40
1681924183562488079,41,1681924183562488079,camera_2,41
1681924183572568416,42,1681924183572568416,camera_2,42
1681924183582144498,43,1681924183582144498,camera_2,43
1681924183592462062,44,1681924183592462062,camera_2,44
1681924183602317810,45,1681924183602317810,camera_2,45
1681924183612133026,46,1681924183612133026,camera_2,46
1681924183621811866,47,1681924183621811866,camera_2,47
1681924183631590843,48,1681924183631590843,camera_2,48
1681924183641944885,49,1681924183641944885,camera_2,49
1681924183651835680,50,1681924183651835680,camera_2,50
1681924183661978721,51,1681924183661978721,camera_2,51
1681924183671770095,52,1681924183671770095,camera_2,52
1681924183681822299,53,1681924183681822299,camera_2,53
1681924183691945075,54,1681924183691945075,camera_2,54
1681924183701708555,55,1681924183701708555,camera_2,55
1681924183711887359,56,1681924183711887359,camera_2,56
1681924183721937179,57,1681924183721937179,camera_2,57
1681924183731771230,58,1681924183731771230,camera_2,58
1681924183741869926,59,1681924183741869926,camera_2,59
1681924183751769542,60,1681924183751769542,camera_2,60
1681924183761875391,61,1681924183761875391,camera_2,61
1681924183771765708,62,1681924183771765708,camera_2,62
1681924183781941652,63,1681924183781941652,camera_2,63
1681924183791854381,64,1681924183791854381,camera_2,64
1681924183801848411,65,1681924183801848411,camera_2,65
1681924183811559915,66,1681924183811559915,camera_2,66
1681924183821702718,67,1681924183821702718,camera_2,67
1681924183833014965,68,1681924183833014965,camera_2,68
1681924183841953039,69,1681924183841953039,camera_2,69
1681924183851973056,70,1681924183851973056,camera_2,70
1681924183861974239,71,1681924183861974239,camera_2,71
1681924183871491909,72,1681924183871491909,camera_2,72
1681924183881441116,73,1681924183881441116,camera_2,73
1681924183891294240,74,1681924183891294240,camera_2,74
1681924183901161670,75,1681924183901161670,camera_2,75
1681924183911058664,76,1681924183911058664,camera_2,76
1681924183920802354,77,1681924183920802354,camera_2,77
1681924183930991888,78,1681924183930991888,camera_2,78
1681924183940747737,79,1681924183940747737,camera_2,79
1681924183950730800,80,1681924183950730800,camera_2,80
1681924183960591793,81,1681924183960591793,camera_2,81
1681924183970887660,82,1681924183970887660,camera_2,82
1681924183981870412,83,1681924183981870412,camera_2,83
1681924183991803407,84,1681924183991803407,camera_2,84
1681924184001810789,85,1681924184001810789,camera_2,85
1681924184011676073,86,1681924184011676073,camera_2,86
1681924184021882057,87,1681924184021882057,camera_2,87
1681924184031751155,88,1681924184031751155,camera_2,88
1681924184041782855,89,1681924184041782855,camera_2,89
1681924184051802873,90,1681924184051802873,camera_2,90
1681924184061856985,91,1681924184061856985,camera_2,91
1681924184071767807,92,1681924184071767807,camera_2,92
1681924184081833362,93,1681924184081833362,camera_2,93
1681924184091743707,94,1681924184091743707,camera_2,94
1681924184101869583,95,1681924184101869583,camera_2,95
1681924184111912488,96,1681924184111912488,camera_2,96
1681924184121876239,97,1681924184121876239,camera_2,97
1681924184132007837,98,1681924184132007837,camera_2,98
1681924184141817092,99,1681924184141817092,camera_2,99
1681924184151959657,100,1681924184151959657,camera_2,100
1681924184161823511,101,1681924184161823511,camera_2,101
1681924184171706676,102,1681924184171706676,camera_2,102
1681924184181940317,103,1681924184181940317,camera_2,103
1681924184191855907,104,1681924184191855907,camera_2,104
1681924184202749252,105,1681924184202749252,camera_2,105
1681924184212352752,106,1681924184212352752,camera_2,106
1681924184220977306,107,1681924184220977306,camera_2,107
1681924184231786727,108,1681924184231786727,camera_2,108
1681924184242062568,109,1681924184242062568,camera_2,109
1681924184251934528,110,1681924184251934528,camera_2,110
1681924184261820554,111,1681924184261820554,camera_2,111
1681924184271880865,112,1681924184271880865,camera_2,112
1681924184281739950,113,1681924184281739950,camera_2,113
1681924184291935920,114,1681924184291935920,camera_2,114
1681924184301767826,115,1681924184301767826,camera_2,115
1681924184311905860,116,1681924184311905860,camera_2,116
1681924184321764469,117,1681924184321764469,camera_2,117
1681924184331898450,118,1681924184331898450,camera_2,118
1681924184341818332,119,1681924184341818332,camera_2,119
1681924184352054119,120,1681924184352054119,camera_2,120
1681924184361716032,121,1681924184361716032,camera_2,121
1681924184371479988,122,1681924184371479988,camera_2,122
1681924184381626367,123,1681924184381626367,camera_2,123
1681924184391596078,124,1681924184391596078,camera_2,124
1681924184401540040,125,1681924184401540040,camera_2,125
1681924184411597251,126,1681924184411597251,camera_2,126
1681924184421510696,127,1681924184421510696,camera_2,127
1681924184431582927,128,1681924184431582927,camera_2,128
1681924184441712141,129,1681924184441712141,camera_2,129
1681924184451579570,130,1681924184451579570,camera_2,130
1681924184461594820,131,1681924184461594820,camera_2,131
1681924184471550941,132,1681924184471550941,camera_2,132
1681924184481528520,133,1681924184481528520,camera_2,133
1681924184491468429,134,1681924184491468429,camera_2,134
1681924184501209497,135,1681924184501209497,camera_2,135
1681924184511542081,136,1681924184511542081,camera_2,136
1681924184521390676,137,1681924184521390676,camera_2,137
1681924184531512260,138,1681924184531512260,camera_2,138
1681924184541571378,139,1681924184541571378,camera_2,139
1681924184551448822,140,1681924184551448822,camera_2,140
1681924184561675310,141,1681924184561675310,camera_2,141
1681924184571660995,142,1681924184571660995,camera_2,142
1681924184581628561,143,1681924184581628561,camera_2,143
1681924184591636419,144,1681924184591636419,camera_2,144
1681924184601608037,145,1681924184601608037,camera_2,145
1681924184611587285,146,1681924184611587285,camera_2,146
1681924184621480703,147,1681924184621480703,camera_2,147
1681924184631458044,148,1681924184631458044,camera_2,148
1681924184641655921,149,1681924184641655921,camera_2,149
1681924184651598453,150,1681924184651598453,camera_2,150
1681924184661645174,151,1681924184661645174,camera_2,151
1681924184671661853,152,1681924184671661853,camera_2,152
1681924184681622028,153,1681924184681622028,camera_2,153
1681924184691582679,154,1681924184691582679,camera_2,154
1681924184701561450,155,1681924184701561450,camera_2,155
1681924184711576461,156,1681924184711576461,camera_2,156
1681924184721538782,157,1681924184721538782,camera_2,157
1681924184731582403,158,1681924184731582403,camera_2,158
1681924184741482734,159,1681924184741482734,camera_2,159
1681924184751534700,160,1681924184751534700,camera_2,160
1681924184761541604,161,1681924184761541604,camera_2,161
1681924184771573781,162,1681924184771573781,camera_2,162
1681924184781418085,163,1681924184781418085,camera_2,163
1681924184791494607,164,1681924184791494607,camera_2,164
1681924184801534175,165,1681924184801534175,camera_2,165
1681924184811411142,166,1681924184811411142,camera_2,166
1681924184822158575,167,1681924184822158575,camera_2,167
1681924184831906557,168,1681924184831906557,camera_2,168
1681924184843148469,169,1681924184843148469,camera_2,169
1681924184852387189,170,1681924184852387189,camera_2,170
1681924184861982107,171,1681924184861982107,camera_2,171
1681924184871982336,172,1681924184871982336,camera_2,172
1681924184881926774,173,1681924184881926774,camera_2,173
1681924184891999959,174,1681924184891999959,camera_2,174
1681924184901872634,175,1681924184901872634,camera_2,175
1681924184911832571,176,1681924184911832571,camera_2,176
1681924184921897411,177,1681924184921897411,camera_2,177
1681924184931818246,178,1681924184931818246,camera_2,178
1681924184941719055,179,1681924184941719055,camera_2,179
1681924184951907873,180,1681924184951907873,camera_2,180
1681924184961765050,181,1681924184961765050,camera_2,181
1681924184971938133,182,1681924184971938133,camera_2,182
1681924184981499433,183,1681924184981499433,camera_2,183
1681924184991909980,184,1681924184991909980,camera_2,184
1681924185001689672,185,1681924185001689672,camera_2,185
1681924185011891126,186,1681924185011891126,camera_2,186
1681924185021862030,187,1681924185021862030,camera_2,187
1681924185031835317,188,1681924185031835317,camera_2,188
1681924185041692256,189,1681924185041692256,camera_2,189
1681924185051868438,190,1681924185051868438,camera_2,190
1681924185061784029,191,1681924185061784029,camera_2,191
1681924185071944952,192,1681924185071944952,camera_2,192
1681924185081822633,193,1681924185081822633,camera_2,193
1681924185092002630,194,1681924185092002630,camera_2,194
1681924185101784229,195,1681924185101784229,camera_2,195
1681924185111738204,196,1681924185111738204,camera_2,196
1681924185121745586,197,1681924185121745586,camera_2,197
1681924185131752252,198,1681924185131752252,camera_2,198
1681924185141797542,199,1681924185141797542,camera_2,199
1681924185151848793,200,1681924185151848793,camera_2,200
1681924185161840200,201,1681924185161840200,camera_2,201
1681924185171804666,202,1681924185171804666,camera_2,202
1681924185181822538,203,1681924185181822538,camera_2,203
1681924185191749095,204,1681924185191749095,camera_2,204
1681924185201846837,205,1681924185201846837,camera_2,205
