%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1678312351192165687,179,1678272428018340110,camera_1,180
1678312351198277938,180,1678272428024303674,camera_1,181
1678312351207829635,181,1678272428031504869,camera_1,182
1678312351212923189,182,1678272428038325071,camera_1,183
1678312351217813088,183,1678272428044359445,camera_1,184
1678312351226320107,184,1678272428051445007,camera_1,185
1678312351232361680,185,1678272428058361530,camera_1,186
1678312351238603625,186,1678272428064313650,camera_1,187
1678312351247326243,187,1678272428071500301,camera_1,188
1678312351254940977,188,1678272428078303575,camera_1,189
1678312351257912281,189,1678272428084348917,camera_1,190
1678312351266230661,190,1678272428091407299,camera_1,191
1678312351274529207,191,1678272428098363399,camera_1,192
1678312351279332572,192,1678272428104996681,camera_1,193
1678312351284605687,193,1678272428111101627,camera_1,194
1678312351293544323,194,1678272428117903470,camera_1,195
1678312351297969571,195,1678272428124329566,camera_1,196
1678312351306202675,196,1678272428131616353,camera_1,197
1678312351314343799,197,1678272428138382911,camera_1,198
1678312351318132310,198,1678272428144316196,camera_1,199
1678312351326005315,199,1678272428151678562,camera_1,200
1678312351331661157,200,1678272428157505512,camera_1,201
1678312351338599135,201,1678272428164569854,camera_1,202
1678312351346876588,202,1678272428171625375,camera_1,203
1678312351354612008,203,1678272428178385972,camera_1,204
1678312351359606458,204,1678272428185017585,camera_1,205
1678312351365792949,205,1678272428191686153,camera_1,206
1678312351373412922,206,1678272428198317050,camera_1,207
1678312351379551363,207,1678272428205024719,camera_1,208
1678312351387380090,208,1678272428211799860,camera_1,209
1678312351392621078,209,1678272428218365907,camera_1,210
1678312351399591462,210,1678272428224966764,camera_1,211
1678312351405922035,211,1678272428230843305,camera_1,212
1678312351412992920,212,1678272428238329410,camera_1,213
1678312351419376153,213,1678272428245008707,camera_1,214
1678312351426471901,214,1678272428251648187,camera_1,215
1678312351434891690,215,1678272428258371353,camera_1,216
1678312351438582563,216,1678272428264185667,camera_1,217
1678312351445834195,217,1678272428271701097,camera_1,218
1678312351453986284,218,1678272428278322935,camera_1,219
1678312351458778336,219,1678272428285014390,camera_1,220
1678312351464731769,220,1678272428290815830,camera_1,221
1678312351474291498,221,1678272428298408746,camera_1,222
1678312351479867233,222,1678272428304999828,camera_1,223
1678312351486075375,223,1678272428311663627,camera_1,224
1678312351492937366,224,1678272428318320989,camera_1,225
1678312351498000749,225,1678272428324233055,camera_1,226
1678312351506265142,226,1678272428331359624,camera_1,227
1678312351512971598,227,1678272428338360548,camera_1,228
1678312351518921400,228,1678272428344314813,camera_1,229
1678312351525909244,229,1678272428351125955,camera_1,230
1678312351543595640,230,1678272428364291906,camera_1,232
1678312351548307235,231,1678272428371632099,camera_1,233
1678312351553217527,232,1678272428378363370,camera_1,234
1678312351558908779,233,1678272428384233951,camera_1,235
1678312351566453742,234,1678272428391782283,camera_1,236
1678312351575146818,235,1678272428398710250,camera_1,237
1678312351580455621,236,1678272428405173540,camera_1,238
1678312351584872139,237,1678272428410742521,camera_1,239
1678312351593281801,238,1678272428418170452,camera_1,240
1678312351601868160,239,1678272428425253152,camera_1,241
1678312351605154375,240,1678272428430804014,camera_1,242
1678312351612557842,241,1678272428438214302,camera_1,243
1678312351619153810,242,1678272428444931268,camera_1,244
1678312351625176734,243,1678272428451405763,camera_1,245
1678312351631413372,244,1678272428457474708,camera_1,246
1678312351639709612,245,1678272428464901924,camera_1,247
1678312351647247592,246,1678272428471735715,camera_1,248
1678312351652934094,247,1678272428478310108,camera_1,249
1678312351658704824,248,1678272428484528779,camera_1,250
1678312351664712174,249,1678272428490986585,camera_1,251
1678312351672712150,250,1678272428498335123,camera_1,252
1678312351681845012,251,1678272428504950523,camera_1,253
1678312351685749877,252,1678272428511666059,camera_1,254
1678312351692495025,253,1678272428518367528,camera_1,255
1678312351697929053,254,1678272428524326324,camera_1,256
1678312351706409463,255,1678272428531462907,camera_1,257
1678312351714684612,256,1678272428538390874,camera_1,258
1678312351720141128,257,1678272428545001983,camera_1,259
1678312351726178649,258,1678272428551684141,camera_1,260
1678312351734884506,259,1678272428558339834,camera_1,261
1678312351739315481,260,1678272428564387083,camera_1,262
1678312351746468429,261,1678272428571651220,camera_1,263
1678312351754695736,262,1678272428578369617,camera_1,264
1678312351759597857,263,1678272428584990262,camera_1,265
1678312351764470295,264,1678272428591002941,camera_1,266
1678312351775240713,265,1678272428598306655,camera_1,267
1678312351779511753,266,1678272428604984521,camera_1,268
1678312351786339173,267,1678272428611660242,camera_1,269
1678312351792880945,268,1678272428618367433,camera_1,270
1678312351802159914,269,1678272428624946594,camera_1,271
1678312351806046131,270,1678272428631687879,camera_1,272
1678312351813011976,271,1678272428638331890,camera_1,273
1678312351817890630,272,1678272428644326210,camera_1,274
1678312351828469126,273,1678272428651598453,camera_1,275
1678312351831469623,274,1678272428657957553,camera_1,276
1678312351838066988,275,1678272428664281606,camera_1,277
1678312351846630020,276,1678272428671675682,camera_1,278
1678312351855270924,277,1678272428678364276,camera_1,279
1678312351859833340,278,1678272428684993505,camera_1,280
1678312351866042530,279,1678272428691622972,camera_1,281
1678312351872300329,280,1678272428698348522,camera_1,282
1678312351878829459,281,1678272428704290151,camera_1,283
1678312351886099320,282,1678272428711640596,camera_1,284
1678312351892920594,283,1678272428718305587,camera_1,285
1678312351898175061,284,1678272428724392414,camera_1,286
1678312351908264672,285,1678272428731624126,camera_1,287
1678312351912893366,286,1678272428738373041,camera_1,288
1678312351918128138,287,1678272428744315147,camera_1,289
1678312351926248939,288,1678272428751767873,camera_1,290
1678312351934607687,289,1678272428758350610,camera_1,291
1678312351937951591,290,1678272428764347076,camera_1,292
1678312351946621340,291,1678272428771685838,camera_1,293
1678312351954167840,292,1678272428778381109,camera_1,294
1678312351958876292,293,1678272428784362554,camera_1,295
